,group,variable,month,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,2,3,3,8
ACHACACHI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,22,19,6,8,55
ACHOCALLA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,10,8,6,13,37
AIQUILE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,13,18,3,4,38
ALALAY,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,0,0,1,1
ALCALA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,2,0,1,5
ALTO BENI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,11,0,1,16
ANCORAIMES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,11,9,3,3,26
ANDAMARCA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,3,1,0,6
ANTEQUERA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,2,0,0,6
ANZALDO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,4,3,3,12
APOLO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,10,12,2,1,25
ARAMPAMPA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,0,2,5,8
ARANI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,11,9,1,2,23
ARBIETO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,16,10,7,8,41
ARQUE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,9,9,0,0,18
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,33,33,0,0,66
ATOCHA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,9,6,1,3,19
AUCAPATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,1,3,0,5
AYATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,5,3,1,2,11
AYO AYO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,7,1,4,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,16,9,11,10,46
AZURDUY,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,8,0,1,2,11
BATALLAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,13,9,6,6,34
BAURES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,4,0,1,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,0,2,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,0,2,0,3
BELLA FLOR,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,1,2,0,3
