,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,1,1,0,0,1,1
AYATA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,2,0,1,1,3,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,0,0,2,1,2,1
CAIROMA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,0,0,3,0,3,0
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,1,1,0,1,1,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,2,3,2,1,4,4
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,2,0,3,0,5,0
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,5,0,2,0,7,0
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,1,1,0,0,1,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,0,0,0,1,0,1
COLOMI,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,0,1,0,0,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,2,0,2,0,4,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,5,1,3,0,8,1
HUACARETA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,1,1,1,0,2,1
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,0,2,2,0,2,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,10,3,7,4,17,7
