,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2023-01-01,0,0,1,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2023-01-01,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2023-01-01,2,0,1,1,3,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2023-01-01,1,0,0,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2023-01-01,1,0,2,0,3,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2023-01-01,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2023-01-01,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2023-01-01,1,0,1,0,2,0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2023-01-01,1,0,0,0,1,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2023-01-01,0,0,1,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2023-01-01,0,1,0,0,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania mucosa,2023-01-01,1,0,0,0,1,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2023-02-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2023-02-01,1,0,2,0,3,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2023-02-01,0,0,1,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2023-02-01,0,0,1,0,1,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2023-02-01,0,1,0,1,0,2
