,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-01-01,0,0,1,0,1,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-01-01,0,0,1,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-01-01,1,0,0,0,1,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-01-01,1,0,1,0,2,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-01-01,11,6,1,0,12,6
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-02-01,1,0,1,0,2,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-02-01,1,0,0,0,1,0
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-03-01,1,0,0,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-03-01,4,1,0,0,4,1
SIPE SIPE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-03-01,0,1,0,0,0,1
SUCRE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-03-01,0,1,0,0,0,1
ALTO BENI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-04-01,0,0,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-04-01,0,0,2,0,2,0
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-04-01,0,0,0,1,0,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-04-01,0,1,0,0,0,1
LA PAZ,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-04-01,0,1,0,51,0,52
COROICO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-05-01,1,0,0,0,1,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-05-01,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-05-01,0,1,0,1,0,2
MINEROS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-05-01,0,0,71,1949,71,1949
COROICO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-06-01,0,0,1,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-07-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-07-01,1,0,0,0,1,0
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-07-01,1,0,0,0,1,0
COROICO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-08-01,0,1,0,0,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-08-01,1,0,0,0,1,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-08-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-08-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-08-01,0,0,1,0,1,0
COROICO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-09-01,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-09-01,0,0,1,0,1,0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-09-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-09-01,1,0,1,0,2,0
TARIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-09-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-10-01,2,0,0,0,2,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-10-01,0,1,0,1,0,2
GRAL. J.J. PEREZ (CHARAZANI),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-10-01,0,1,0,0,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-11-01,0,0,2,0,2,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-11-01,1,0,0,0,1,0
GRAL. J.J. PEREZ (CHARAZANI),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-11-01,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-11-01,1,0,0,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-11-01,0,1,0,0,0,1
TARIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-11-01,1,0,2,0,3,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-12-01,1,0,0,0,1,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2023-12-01,0,0,1,0,1,0
