municipality,group,variable,month,Total 3.13 Nº de actividades de educación en Salud Oral,TOTAL
ACHACACHI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
ACHOCALLA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
AIQUILE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,17.0,17.0
ANCORAIMES,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,28.0,28.0
ANDAMARCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,6.0,6.0
APOLO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
ARQUE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
ASCENCION DE GUARAYOS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,25.0,25.0
ATOCHA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
AUCAPATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,6.0,6.0
AYATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
AYO AYO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,6.0,6.0
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,6.0,6.0
BELEN DE ANDAMARCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
BERMEJO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
BETANZOS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,5.0,5.0
BOLIVAR,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
BOLPEBRA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
CABEZAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,7.0,7.0
CAIROMA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,8.0,8.0
CAJUATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
CALACOTO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
CALAMARCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
CAMATAQUI (C. VILLA ABECIA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
CAMIRI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,9.0,9.0
CAPINOTA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,31.0,31.0
CAQUIAVIRI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,8.0,8.0
CARACOLLO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,10.0,10.0
CARANAVI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,12.0,12.0
CARAPARI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
CARIPUYO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
CATACORA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
CHALLAPATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,23.0,23.0
CHARAGUA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,14.0,14.0
CHARAÑA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
CHIMORE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,19.0,19.0
CHIPAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
CHUA COCANI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
CHUMA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,5.0,5.0
CKOCHAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
COBIJA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,57.0,57.0
COCAPATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,12.0,12.0
COCHABAMBA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,46.0,46.0
COIPASA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
COLCAPIRHUA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,71.0,71.0
"COLCHA ""K""",atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
COLLANA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
COLOMI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
COLQUECHACA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,7.0,7.0
COLQUIRI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
