municipality,group,variable,month,Mujeres con 4ta consulta prenatal,TOTAL
ACACIO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
ACHACACHI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,22,22
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,11,11
AIQUILE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,20,20
ALALAY,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
ALCALA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,11,11
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,4,4
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
ANZALDO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,5,5
APOLO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,14,14
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,12,12
ARANI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,5,5
ARBIETO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,5,5
ARQUE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,5,5
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,55,55
ATOCHA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,17,17
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,20,20
AZURDUY,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,15,15
BATALLAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,5,5
BAURES,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,4,4
BELEN DE ANDAMARCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
BERMEJO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,60,60
BETANZOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,37,37
BOLIVAR,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,24,24
CABEZAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,8,8
CAIROMA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,10,10
CAJUATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
CALACOTO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
CALAMARCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
CAMARGO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,24,24
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
CAMIRI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,37,37
CAPINOTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,39,39
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
CARACOLLO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,21,21
CARANAVI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,43,43
CARAPARI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,12,12
CARIPUYO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,12,12
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,19,19
CHAQUI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
CHARAGUA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,26,26
CHAYANTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,9,9
CHIMORE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,14,14
CHIPAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,22,22
CHUMA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,4,4
CLIZA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,17,17
COBIJA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,54,54
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,815,815
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,32,32
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
COLOMI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,36,36
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,5,5
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,12,12
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
COLQUIRI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,15,15
COMARAPA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,31,31
COMBAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
CONCEPCION,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,16,16
COPACABANA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
CORIPATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,8,8
CORO CORO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
COROICO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,18,18
CORQUE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,7,7
COTAGAITA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,31,31
COTOCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,52,52
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,23,23
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
CUEVO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
CULPINA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,38,38
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,5,5
CURVA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
EL ALTO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,883,883
EL CHORO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,8,8
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,13,13
EL TORNO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,34,34
EL VILLAR,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,5,5
ENTRE RIOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,18,18
ENTRE RIOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,17,17
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,9,9
EXALTACION,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,19,19
FILADELFIA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,4,4
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,12,12
