municipality,group,variable,month,Repetidas,TOTAL
ACACIO,consultas prenatales,repetidas,2005-01-01,40,40
ACHACACHI,consultas prenatales,repetidas,2005-01-01,106,106
ACHOCALLA,consultas prenatales,repetidas,2005-01-01,59,59
AIQUILE,consultas prenatales,repetidas,2005-01-01,109,109
ALALAY,consultas prenatales,repetidas,2005-01-01,3,3
ALCALA,consultas prenatales,repetidas,2005-01-01,25,25
ANCORAIMES,consultas prenatales,repetidas,2005-01-01,35,35
ANDAMARCA,consultas prenatales,repetidas,2005-01-01,10,10
ANTEQUERA,consultas prenatales,repetidas,2005-01-01,3,3
ANZALDO,consultas prenatales,repetidas,2005-01-01,11,11
APOLO,consultas prenatales,repetidas,2005-01-01,59,59
ARAMPAMPA,consultas prenatales,repetidas,2005-01-01,37,37
ARANI,consultas prenatales,repetidas,2005-01-01,28,28
ARBIETO,consultas prenatales,repetidas,2005-01-01,14,14
ARQUE,consultas prenatales,repetidas,2005-01-01,23,23
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2005-01-01,118,118
ATOCHA,consultas prenatales,repetidas,2005-01-01,74,74
AUCAPATA,consultas prenatales,repetidas,2005-01-01,9,9
AYATA,consultas prenatales,repetidas,2005-01-01,4,4
AYO AYO,consultas prenatales,repetidas,2005-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2005-01-01,93,93
AZURDUY,consultas prenatales,repetidas,2005-01-01,79,79
BATALLAS,consultas prenatales,repetidas,2005-01-01,39,39
BAURES,consultas prenatales,repetidas,2005-01-01,21,21
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2005-01-01,1,1
BELEN DE URMIRI,consultas prenatales,repetidas,2005-01-01,7,7
BELLA FLOR,consultas prenatales,repetidas,2005-01-01,14,14
BERMEJO,consultas prenatales,repetidas,2005-01-01,126,126
BETANZOS,consultas prenatales,repetidas,2005-01-01,142,142
BOLIVAR,consultas prenatales,repetidas,2005-01-01,34,34
BOLPEBRA,consultas prenatales,repetidas,2005-01-01,3,3
BOYUIBE,consultas prenatales,repetidas,2005-01-01,15,15
BUENA VISTA,consultas prenatales,repetidas,2005-01-01,105,105
CABEZAS,consultas prenatales,repetidas,2005-01-01,43,43
CAIROMA,consultas prenatales,repetidas,2005-01-01,26,26
"CAIZA ""D""",consultas prenatales,repetidas,2005-01-01,33,33
CAJUATA,consultas prenatales,repetidas,2005-01-01,58,58
CALACOTO,consultas prenatales,repetidas,2005-01-01,6,6
CALAMARCA,consultas prenatales,repetidas,2005-01-01,19,19
CAMARGO,consultas prenatales,repetidas,2005-01-01,120,120
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2005-01-01,13,13
CAMIRI,consultas prenatales,repetidas,2005-01-01,214,214
CAPINOTA,consultas prenatales,repetidas,2005-01-01,127,127
CAQUIAVIRI,consultas prenatales,repetidas,2005-01-01,18,18
CARACOLLO,consultas prenatales,repetidas,2005-01-01,103,103
CARANAVI,consultas prenatales,repetidas,2005-01-01,220,220
CARAPARI,consultas prenatales,repetidas,2005-01-01,37,37
CARIPUYO,consultas prenatales,repetidas,2005-01-01,42,42
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2005-01-01,18,18
CATACORA,consultas prenatales,repetidas,2005-01-01,1,1
CHALLAPATA,consultas prenatales,repetidas,2005-01-01,118,118
CHAQUI,consultas prenatales,repetidas,2005-01-01,21,21
CHARAGUA,consultas prenatales,repetidas,2005-01-01,112,112
CHARAÑA,consultas prenatales,repetidas,2005-01-01,7,7
CHAYANTA,consultas prenatales,repetidas,2005-01-01,54,54
CHIMORE,consultas prenatales,repetidas,2005-01-01,106,106
CHIPAYA,consultas prenatales,repetidas,2005-01-01,15,15
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2005-01-01,92,92
CHUMA,consultas prenatales,repetidas,2005-01-01,24,24
CLIZA,consultas prenatales,repetidas,2005-01-01,82,82
COBIJA,consultas prenatales,repetidas,2005-01-01,377,377
COCHABAMBA,consultas prenatales,repetidas,2005-01-01,4799,4799
COIPASA,consultas prenatales,repetidas,2005-01-01,2,2
COLCAPIRHUA,consultas prenatales,repetidas,2005-01-01,275,275
"COLCHA ""K""",consultas prenatales,repetidas,2005-01-01,24,24
COLLANA,consultas prenatales,repetidas,2005-01-01,3,3
COLOMI,consultas prenatales,repetidas,2005-01-01,122,122
COLPA BELGICA,consultas prenatales,repetidas,2005-01-01,28,28
COLQUECHACA,consultas prenatales,repetidas,2005-01-01,103,103
COLQUENCHA,consultas prenatales,repetidas,2005-01-01,22,22
COLQUIRI,consultas prenatales,repetidas,2005-01-01,60,60
COMANCHE,consultas prenatales,repetidas,2005-01-01,4,4
COMARAPA,consultas prenatales,repetidas,2005-01-01,129,129
COMBAYA,consultas prenatales,repetidas,2005-01-01,1,1
CONCEPCION,consultas prenatales,repetidas,2005-01-01,82,82
COPACABANA,consultas prenatales,repetidas,2005-01-01,35,35
CORIPATA,consultas prenatales,repetidas,2005-01-01,38,38
CORO CORO,consultas prenatales,repetidas,2005-01-01,19,19
COROICO,consultas prenatales,repetidas,2005-01-01,89,89
CORQUE,consultas prenatales,repetidas,2005-01-01,13,13
COTAGAITA,consultas prenatales,repetidas,2005-01-01,110,110
COTOCA,consultas prenatales,repetidas,2005-01-01,125,125
CUATRO CAÑADAS,consultas prenatales,repetidas,2005-01-01,112,112
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2005-01-01,8,8
CUEVO,consultas prenatales,repetidas,2005-01-01,14,14
CULPINA,consultas prenatales,repetidas,2005-01-01,135,135
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2005-01-01,19,19
CURVA,consultas prenatales,repetidas,2005-01-01,8,8
DESAGUADERO,consultas prenatales,repetidas,2005-01-01,20,20
EL ALTO,consultas prenatales,repetidas,2005-01-01,4241,4241
EL CHORO,consultas prenatales,repetidas,2005-01-01,6,6
EL PUENTE(STC),consultas prenatales,repetidas,2005-01-01,51,51
EL PUENTE(TJA),consultas prenatales,repetidas,2005-01-01,53,53
EL TORNO,consultas prenatales,repetidas,2005-01-01,302,302
EL VILLAR,consultas prenatales,repetidas,2005-01-01,32,32
ENTRE RIOS,consultas prenatales,repetidas,2005-01-01,74,74
ENTRE RIOS,consultas prenatales,repetidas,2005-01-01,127,127
EUCALIPTUS,consultas prenatales,repetidas,2005-01-01,18,18
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2005-01-01,2,2
EXALTACION,consultas prenatales,repetidas,2005-01-01,12,12
FERNANDEZ ALONSO,consultas prenatales,repetidas,2005-01-01,104,104
FILADELFIA,consultas prenatales,repetidas,2005-01-01,10,10
GENERAL SAAVEDRA,consultas prenatales,repetidas,2005-01-01,74,74
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2005-01-01,22,22
GUANAY,consultas prenatales,repetidas,2005-01-01,94,94
GUAQUI,consultas prenatales,repetidas,2005-01-01,16,16
GUAYARAMERIN,consultas prenatales,repetidas,2005-01-01,336,336
GUTIERREZ,consultas prenatales,repetidas,2005-01-01,74,74
HUACARETA,consultas prenatales,repetidas,2005-01-01,50,50
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2005-01-01,10,10
HUANUNI,consultas prenatales,repetidas,2005-01-01,157,157
HUARACAJE,consultas prenatales,repetidas,2005-01-01,28,28
HUAYLLAMARCA,consultas prenatales,repetidas,2005-01-01,21,21
ICHOCA,consultas prenatales,repetidas,2005-01-01,10,10
ICLA,consultas prenatales,repetidas,2005-01-01,46,46
INCAHUASI,consultas prenatales,repetidas,2005-01-01,132,132
INQUISIVI,consultas prenatales,repetidas,2005-01-01,16,16
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2005-01-01,59,59
IXIAMAS,consultas prenatales,repetidas,2005-01-01,46,46
JESUS DE MACHACA,consultas prenatales,repetidas,2005-01-01,35,35
LA ASUNTA,consultas prenatales,repetidas,2005-01-01,142,142
LA GUARDIA,consultas prenatales,repetidas,2005-01-01,309,309
LA PAZ,consultas prenatales,repetidas,2005-01-01,5887,5887
LA RIVERA,consultas prenatales,repetidas,2005-01-01,1,1
LAGUNILLAS,consultas prenatales,repetidas,2005-01-01,25,25
LAJA,consultas prenatales,repetidas,2005-01-01,29,29
LAS CARRERAS,consultas prenatales,repetidas,2005-01-01,41,41
LICOMA PAMPA,consultas prenatales,repetidas,2005-01-01,12,12
LLALLAGUA,consultas prenatales,repetidas,2005-01-01,290,290
LLICA,consultas prenatales,repetidas,2005-01-01,9,9
LORETO,consultas prenatales,repetidas,2005-01-01,8,8
LURIBAY,consultas prenatales,repetidas,2005-01-01,20,20
MACHACAMARCA,consultas prenatales,repetidas,2005-01-01,8,8
MACHARETI,consultas prenatales,repetidas,2005-01-01,47,47
MAGDALENA,consultas prenatales,repetidas,2005-01-01,104,104
MAIRANA,consultas prenatales,repetidas,2005-01-01,79,79
MALLA,consultas prenatales,repetidas,2005-01-01,14,14
MAPIRI,consultas prenatales,repetidas,2005-01-01,89,89
MECAPACA,consultas prenatales,repetidas,2005-01-01,37,37
MINEROS,consultas prenatales,repetidas,2005-01-01,126,126
MIZQUE,consultas prenatales,repetidas,2005-01-01,130,130
MOCOMOCO,consultas prenatales,repetidas,2005-01-01,40,40
MOJINETE,consultas prenatales,repetidas,2005-01-01,4,4
MOJOCOYA,consultas prenatales,repetidas,2005-01-01,35,35
MONTEAGUDO,consultas prenatales,repetidas,2005-01-01,239,239
MONTERO,consultas prenatales,repetidas,2005-01-01,637,637
MORO MORO,consultas prenatales,repetidas,2005-01-01,11,11
MOROCHATA,consultas prenatales,repetidas,2005-01-01,81,81
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2005-01-01,3,3
NAZACARA DE PACAJES,consultas prenatales,repetidas,2005-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2005-01-01,1,1
OCURI,consultas prenatales,repetidas,2005-01-01,76,76
OKINAWA,consultas prenatales,repetidas,2005-01-01,87,87
OMEREQUE,consultas prenatales,repetidas,2005-01-01,20,20
ORURO,consultas prenatales,repetidas,2005-01-01,1909,1909
PADCAYA,consultas prenatales,repetidas,2005-01-01,62,62
PADILLA,consultas prenatales,repetidas,2005-01-01,97,97
PAILON,consultas prenatales,repetidas,2005-01-01,103,103
PALCA,consultas prenatales,repetidas,2005-01-01,26,26
PALOS BLANCOS,consultas prenatales,repetidas,2005-01-01,137,137
PAMPA AULLAGAS,consultas prenatales,repetidas,2005-01-01,5,5
PAMPA GRANDE,consultas prenatales,repetidas,2005-01-01,48,48
PAPEL PAMPA,consultas prenatales,repetidas,2005-01-01,7,7
PASORAPA,consultas prenatales,repetidas,2005-01-01,8,8
PATACAMAYA,consultas prenatales,repetidas,2005-01-01,115,115
PAZÑA,consultas prenatales,repetidas,2005-01-01,15,15
PELECHUCO,consultas prenatales,repetidas,2005-01-01,5,5
POCOATA,consultas prenatales,repetidas,2005-01-01,102,102
POCONA,consultas prenatales,repetidas,2005-01-01,69,69
POJO (CBBA),consultas prenatales,repetidas,2005-01-01,30,30
POOPO,consultas prenatales,repetidas,2005-01-01,22,22
PORCO,consultas prenatales,repetidas,2005-01-01,36,36
POROMA,consultas prenatales,repetidas,2005-01-01,65,65
PORONGO,consultas prenatales,repetidas,2005-01-01,17,17
PORTACHUELO,consultas prenatales,repetidas,2005-01-01,111,111
PORVENIR,consultas prenatales,repetidas,2005-01-01,20,20
POSTRER VALLE,consultas prenatales,repetidas,2005-01-01,6,6
POTOSI,consultas prenatales,repetidas,2005-01-01,1376,1376
PRESTO,consultas prenatales,repetidas,2005-01-01,41,41
PUCARA,consultas prenatales,repetidas,2005-01-01,6,6
PUCARANI,consultas prenatales,repetidas,2005-01-01,48,48
PUERTO ACOSTA,consultas prenatales,repetidas,2005-01-01,63,63
PUERTO CARABUCO,consultas prenatales,repetidas,2005-01-01,24,24
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2005-01-01,10,10
PUERTO PEREZ,consultas prenatales,repetidas,2005-01-01,11,11
PUERTO QUIJARRO,consultas prenatales,repetidas,2005-01-01,80,80
PUERTO RICO,consultas prenatales,repetidas,2005-01-01,32,32
PUERTO SILES,consultas prenatales,repetidas,2005-01-01,6,6
PUERTO SUAREZ,consultas prenatales,repetidas,2005-01-01,110,110
PUERTO VILLARROEL,consultas prenatales,repetidas,2005-01-01,252,252
PUNA,consultas prenatales,repetidas,2005-01-01,126,126
PUNATA,consultas prenatales,repetidas,2005-01-01,191,191
QUIABAYA,consultas prenatales,repetidas,2005-01-01,4,4
QUILLACOLLO,consultas prenatales,repetidas,2005-01-01,491,491
QUIME,consultas prenatales,repetidas,2005-01-01,29,29
QUIRUSILLAS,consultas prenatales,repetidas,2005-01-01,5,5
RAVELO,consultas prenatales,repetidas,2005-01-01,84,84
REYES,consultas prenatales,repetidas,2005-01-01,120,120
RIBERALTA,consultas prenatales,repetidas,2005-01-01,699,699
ROBORE,consultas prenatales,repetidas,2005-01-01,60,60
RURRENABAQUE,consultas prenatales,repetidas,2005-01-01,107,107
SABAYA,consultas prenatales,repetidas,2005-01-01,6,6
SACABA,consultas prenatales,repetidas,2005-01-01,582,582
SACABAMBA,consultas prenatales,repetidas,2005-01-01,12,12
SACACA,consultas prenatales,repetidas,2005-01-01,116,116
SAIPINA,consultas prenatales,repetidas,2005-01-01,34,34
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2005-01-01,27,27
SAMAIPATA,consultas prenatales,repetidas,2005-01-01,61,61
SAN AGUSTIN,consultas prenatales,repetidas,2005-01-01,8,8
SAN ANDRES,consultas prenatales,repetidas,2005-01-01,38,38
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2005-01-01,1,1
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2005-01-01,7,7
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2005-01-01,37,37
SAN BENITO,consultas prenatales,repetidas,2005-01-01,63,63
SAN BORJA,consultas prenatales,repetidas,2005-01-01,261,261
SAN BUENA VENTURA,consultas prenatales,repetidas,2005-01-01,41,41
SAN CARLOS,consultas prenatales,repetidas,2005-01-01,132,132
SAN IGNACIO,consultas prenatales,repetidas,2005-01-01,129,129
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2005-01-01,399,399
SAN JAVIER(BNI),consultas prenatales,repetidas,2005-01-01,6,6
SAN JAVIER(STC),consultas prenatales,repetidas,2005-01-01,72,72
SAN JOAQUIN,consultas prenatales,repetidas,2005-01-01,23,23
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2005-01-01,81,81
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2005-01-01,97,97
SAN JULIAN,consultas prenatales,repetidas,2005-01-01,315,315
SAN LORENZO(PND),consultas prenatales,repetidas,2005-01-01,29,29
SAN LORENZO(TJA),consultas prenatales,repetidas,2005-01-01,65,65
SAN LUCAS,consultas prenatales,repetidas,2005-01-01,213,213
SAN MATIAS,consultas prenatales,repetidas,2005-01-01,42,42
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2005-01-01,75,75
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2005-01-01,4,4
SAN PEDRO,consultas prenatales,repetidas,2005-01-01,170,170
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2005-01-01,53,53
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2005-01-01,7,7
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2005-01-01,7,7
SAN PEDRO(PND),consultas prenatales,repetidas,2005-01-01,1,1
SAN RAFAEL,consultas prenatales,repetidas,2005-01-01,26,26
SAN RAMON,consultas prenatales,repetidas,2005-01-01,50,50
SAN RAMON,consultas prenatales,repetidas,2005-01-01,40,40
SANTA ANA,consultas prenatales,repetidas,2005-01-01,141,141
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2005-01-01,6498,6498
SANTA ROSA,consultas prenatales,repetidas,2005-01-01,43,43
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2005-01-01,56,56
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2005-01-01,6,6
SANTIAGO DE HUARI,consultas prenatales,repetidas,2005-01-01,12,12
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2005-01-01,15,15
SANTIVAÑES,consultas prenatales,repetidas,2005-01-01,15,15
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2005-01-01,9,9
SAPAHAQUI,consultas prenatales,repetidas,2005-01-01,24,24
SENA,consultas prenatales,repetidas,2005-01-01,6,6
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2005-01-01,42,42
SICAYA,consultas prenatales,repetidas,2005-01-01,3,3
SIPE SIPE,consultas prenatales,repetidas,2005-01-01,151,151
SOPACHUY,consultas prenatales,repetidas,2005-01-01,63,63
SORACACHI,consultas prenatales,repetidas,2005-01-01,23,23
SORATA,consultas prenatales,repetidas,2005-01-01,66,66
SUCRE,consultas prenatales,repetidas,2005-01-01,1554,1554
TACACHI,consultas prenatales,repetidas,2005-01-01,4,4
TACACOMA,consultas prenatales,repetidas,2005-01-01,8,8
TACOBAMBA,consultas prenatales,repetidas,2005-01-01,7,7
TACOPAYA,consultas prenatales,repetidas,2005-01-01,48,48
TAHUA,consultas prenatales,repetidas,2005-01-01,3,3
TAPACARI,consultas prenatales,repetidas,2005-01-01,91,91
TARABUCO,consultas prenatales,repetidas,2005-01-01,164,164
TARACO,consultas prenatales,repetidas,2005-01-01,15,15
TARATA,consultas prenatales,repetidas,2005-01-01,38,38
TARIJA,consultas prenatales,repetidas,2005-01-01,897,897
TARVITA,consultas prenatales,repetidas,2005-01-01,102,102
TEOPONTE,consultas prenatales,repetidas,2005-01-01,14,14
TIAWANACU,consultas prenatales,repetidas,2005-01-01,36,36
TINGUIPAYA,consultas prenatales,repetidas,2005-01-01,35,35
TIPUANI,consultas prenatales,repetidas,2005-01-01,69,69
TIQUIPAYA,consultas prenatales,repetidas,2005-01-01,323,323
TIRAQUE (CBBA),consultas prenatales,repetidas,2005-01-01,236,236
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2005-01-01,1,1
TOCO,consultas prenatales,repetidas,2005-01-01,7,7
TOLATA,consultas prenatales,repetidas,2005-01-01,16,16
TOLEDO,consultas prenatales,repetidas,2005-01-01,10,10
TOMAVE,consultas prenatales,repetidas,2005-01-01,10,10
TOMINA,consultas prenatales,repetidas,2005-01-01,62,62
TORO TORO,consultas prenatales,repetidas,2005-01-01,60,60
TOTORA(CBBA),consultas prenatales,repetidas,2005-01-01,47,47
TOTORA(ORR),consultas prenatales,repetidas,2005-01-01,9,9
TRIGAL,consultas prenatales,repetidas,2005-01-01,12,12
TRINIDAD,consultas prenatales,repetidas,2005-01-01,873,873
TUPIZA,consultas prenatales,repetidas,2005-01-01,286,286
