municipality,group,variable,month,Nuevas a partir del 5to mes de embarazo,TOTAL
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,10,10
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,63,63
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,12,12
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,34,34
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,4,4
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,16,16
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,6,6
ANTEQUERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,4,4
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,12,12
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,16,16
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,6,6
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,11,11
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,4,4
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,18,18
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,30,30
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,26,26
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,3,3
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,12,12
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,23,23
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,10,10
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,24,24
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,1,1
BELEN DE URMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,1,1
BELLA FLOR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,3,3
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,36,36
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,45,45
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,10,10
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,9,9
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,10,10
CABEZAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,20,20
CAIROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,6,6
"CAIZA ""D""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,9,9
CAJUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,17,17
CALACOTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,4,4
CALAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,5,5
CAMARGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,17,17
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,2,2
CAMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,97,97
CAPINOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,32,32
CAQUIAVIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,12,12
CARACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,23,23
CARANAVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,43,43
CARAPARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,5,5
CARIPUYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,10,10
CARMEN RIVERO TORREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,6,6
CHALLAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,38,38
CHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,1,1
CHARAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,34,34
CHARAÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,4,4
CHAYANTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,31,31
CHIMORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,38,38
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,21,21
CHUMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,13,13
CLIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,24,24
COBIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,73,73
COCHABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,1851,1851
COLCAPIRHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,60,60
"COLCHA ""K""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,5,5
COLLANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,4,4
COLOMI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,26,26
COLPA BELGICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,5,5
COLQUECHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,33,33
COLQUENCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,3,3
COLQUIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,17,17
COMANCHE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,1,1
COMARAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2005-01-01,18,18
