municipality,group,variable,month,Nuevas antes del 5to mes de embarazo,TOTAL
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,8,8
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,52,52
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,7,7
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,32,32
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,4,4
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,6,6
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,8,8
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,6,6
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,2,2
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,9,9
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,21,21
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,3,3
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,9,9
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,3,3
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,9,9
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,18,18
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,24,24
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,4,4
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,2,2
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,41,41
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,29,29
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,6,6
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,6,6
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,2,2
BELEN DE URMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,1,1
BELLA FLOR,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,5,5
BERMEJO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,45,45
BETANZOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,42,42
BOLIVAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,7,7
BOLPEBRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,2,2
BOYUIBE,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,7,7
BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,27,27
CABEZAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,19,19
CAIROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,4,4
"CAIZA ""D""",consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,7,7
CAJUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,24,24
CALACOTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,1,1
CALAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,3,3
CAMARGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,32,32
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,6,6
CAMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,81,81
CAPINOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,35,35
CAQUIAVIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,3,3
CARACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,18,18
CARANAVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,62,62
CARAPARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,8,8
CARIPUYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,21,21
CARMEN RIVERO TORREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,3,3
CHALLAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,53,53
CHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,7,7
CHARAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,49,49
CHARAÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,4,4
CHAYANTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,11,11
CHIMORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,46,46
CHIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,2,2
CHOQUE COTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,42,42
CHUMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,10,10
CLIZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,58,58
COBIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,106,106
COCHABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,1454,1454
COLCAPIRHUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,64,64
"COLCHA ""K""",consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,3,3
COLOMI,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,28,28
COLPA BELGICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,6,6
COLQUECHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,43,43
COLQUENCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,8,8
COLQUIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,22,22
COMANCHE,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,3,3
COMARAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,25,25
COMBAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,1,1
CONCEPCION,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,23,23
COPACABANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,6,6
CORIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,4,4
CORO CORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,7,7
COROICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,20,20
CORQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,6,6
COTAGAITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,23,23
COTOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,31,31
CUATRO CAÑADAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,36,36
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,4,4
CUEVO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,4,4
CULPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,39,39
CURAHUARA DE CARANGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,5,5
CURVA,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,3,3
DESAGUADERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,7,7
EL ALTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,1507,1507
EL CHORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,2,2
EL PUENTE(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,10,10
EL PUENTE(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,15,15
EL TORNO,consultas prenatales,nuevas antes del 5to mes de embarazo,2005-01-01,77,77
