municipality,group,variable,month,Mujeres con muestra de PAP,TOTAL
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,5,5
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,25,25
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,42,42
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,25,25
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,18,18
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,11,11
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,1,1
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,3,3
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,1,1
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,2,2
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,5,5
ARAMPAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,4,4
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,60,60
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,38,38
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,4,4
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,59,59
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,5,5
AUCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,1,1
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,2,2
AYO AYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,44,44
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,40,40
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,14,14
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,129,129
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,66,66
BOLIVAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,18,18
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,1,1
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,14,14
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,20,20
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,6,6
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,3,3
CALACOTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,1,1
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,47,47
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,19,19
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,8,8
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,35,35
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,91,91
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,2,2
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,12,12
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,73,73
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,4,4
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,19,19
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,5,5
CATACORA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,1,1
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,42,42
CHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,3,3
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,10,10
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,9,9
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,25,25
CHIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,1,1
CHUMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,2,2
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,3,3
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,80,80
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,80,80
COCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,2,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,5302,5302
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,96,96
"COLCHA ""K""","anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,2,2
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,23,23
COLPA BELGICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,10,10
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,5,5
COLQUENCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,11,11
COLQUIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,83,83
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,33,33
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,36,36
COPACABANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,1,1
CORIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",mujeres con muestra de pap,2013-01-01,2,2
