municipality,group,variable,month,AQV masculino,TOTAL
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-01-01,5,5
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-01-01,3,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-01-01,5,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-01-01,2,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-01-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-02-01,3,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-02-01,2,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-02-01,3,3
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-02-01,1,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-02-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-03-01,4,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-03-01,4,4
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-03-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-04-01,4,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-04-01,3,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-04-01,8,8
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-04-01,2,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-04-01,2,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-05-01,7,7
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-05-01,2,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-05-01,9,9
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-05-01,2,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2013-05-01,1,1
