municipality,group,variable,month,Número de DIU Insertados,TOTAL
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,3,3
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,3,3
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,19,19
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,2,2
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,2,2
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,2,2
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,5,5
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,6,6
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,3,3
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,2,2
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,14,14
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,293,293
COLPA BELGICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
COLQUIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,4,4
CORIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,8,8
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,134,134
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,2,2
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,8,8
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,6,6
FERNANDEZ ALONSO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,4,4
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,2,2
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,2,2
HUARACAJE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
IXIAMAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,12,12
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,360,360
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,2,2
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,7,7
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,15,15
OKINAWA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,67,67
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,2,2
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,5,5
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,8,8
PALOS BLANCOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,2,2
PATACAMAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,2,2
POROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,15,15
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,25,25
PUERTO ACOSTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,1,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,2,2
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,3,3
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,81,81
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,11,11
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,2,2
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,3,3
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2013-01-01,28,28
