municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,8,8
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,68,68
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,8,8
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,66,66
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,12,12
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,8,8
ANDAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,2,2
ANTEQUERA,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,2,2
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,17,17
ARAMPAMPA,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,2,2
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,7,7
ARQUE,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,2,2
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,248,248
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,41,41
AUCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,1,1
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,4,4
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,56,56
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,27,27
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,9,9
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,11,11
BELEN DE ANDAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,2,2
BELLA FLOR,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,4,4
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,67,67
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,28,28
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,5,5
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2017-01-01,10,10
