municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,93,93
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,310,310
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,31,31
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,403,403
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,31,31
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,124,124
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,62,62
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,122,122
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,31,31
APOLO,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,93,93
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,31,31
ARANI,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,151,151
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,121,121
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,369,369
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,434,434
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,400,400
AUCAPATA,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,31,31
AYATA,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,155,155
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,93,93
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2017-01-01,867,867
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,198,198
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,62,62
BAURES,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,60,60
BELLA FLOR,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,27,27
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,544,544
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,248,248
BOYUIBE,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,124,124
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,207,207
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,124,124
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2017-01-01,118,118
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,217,217
CALACOTO,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,63,63
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,155,155
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2017-01-01,217,217
