,group,variable,month,AQV MASCULINO < 15,AQV MASCULINO 15 - 19,AQV MASCULINO 20 - 34,AQV MASCULINO 35 - 49,AQV MASCULINO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-01-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-01-01,0,0,16,24,2,42
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-01-01,0,0,4,2,0,6
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-01-01,0,0,9,14,0,23
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-01-01,0,0,3,0,0,3
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-01-01,0,0,6,3,0,9
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-01-01,0,1,51,46,4,102
SICAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-01-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-01-01,0,0,0,3,0,3
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-01-01,0,0,0,1,0,1
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-02-01,0,0,2,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-02-01,0,1,27,25,0,53
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-02-01,0,0,2,1,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-02-01,0,0,3,8,0,11
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-02-01,0,0,20,19,2,41
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-02-01,0,0,6,1,0,7
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-02-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-03-01,0,0,17,11,2,30
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-03-01,0,0,0,1,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-03-01,0,0,3,14,1,18
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-03-01,0,0,2,4,0,6
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-03-01,0,0,6,3,0,9
