,group,variable,month,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) < 15,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) 15 - 19,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) 20 - 34,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) 35 - 49,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2023-01-01,0,0,1,1,0,2
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2023-01-01,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2023-01-01,0,0,1,0,0,1
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2023-01-01,0,0,1,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2023-01-01,0,0,1,0,0,1
CHOQUE COTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2023-01-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2023-01-01,0,0,4,3,3,10
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2023-01-01,0,0,3,98,152,253
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2023-01-01,0,0,2,0,0,2
COPACABANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2023-01-01,0,0,2,0,0,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2023-01-01,0,0,1,2,0,3
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2023-01-01,0,1,2,1,0,4
