,group,variable,month,NÚMERO DE DIU'S RETIRADOS < 15,NÚMERO DE DIU'S RETIRADOS 15 - 19,NÚMERO DE DIU'S RETIRADOS 20 - 34,NÚMERO DE DIU'S RETIRADOS 35 - 49,NÚMERO DE DIU'S RETIRADOS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,1,1,0,2
ARAMPAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,0,1,0,1
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,2,0,0,2
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,2,1,1,0,4
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,2,0,0,2
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,0,2,0,2
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,1,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,1,1,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,2,26,18,2,48
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,0,1,0,1
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,0,1,0,1
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,1,5,4,0,10
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,3,1,0,4
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,3,0,0,3
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,1,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,1,0,0,1
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,1,0,0,1,0,2
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu's retirados,2023-01-01,0,0,1,0,0,1
