,group,variable,month,PÍLDORA: USUARIAS NUEVAS < 15,PÍLDORA: USUARIAS NUEVAS 15 - 19,PÍLDORA: USUARIAS NUEVAS 20 - 34,PÍLDORA: USUARIAS NUEVAS 35 - 49,PÍLDORA: USUARIAS NUEVAS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,0,5,1,0,6
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,3,8,1,0,12
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,0,1,1,0,2
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,0,1,0,0,1
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,0,1,0,0,1
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,0,3,0,0,3
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,0,5,1,0,6
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,1,2,12,5,20
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,0,4,2,0,6
AUCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,0,2,0,0,2
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,0,1,3,0,4
AYO AYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,1,2,0,0,3
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,3,8,0,0,11
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,0,3,1,0,4
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,0,1,0,0,1
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,2,2,0,0,4
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,4,7,1,0,12
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,1,4,1,0,6
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias nuevas,2023-01-01,0,0,1,0,0,1
