,group,variable,month,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS < 15,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 15 - 19,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 20 - 34,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 35 - 49,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-01-01,0,0,1,1,0,2
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-01-01,0,0,12,0,0,12
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-01-01,0,0,0,0,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-01-01,0,1,8,12,3,24
GUTIERREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-01-01,0,0,0,3,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-01-01,0,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-01-01,0,8,29,9,6,52
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-01-01,0,0,1,2,2,5
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-01-01,0,0,1,0,0,1
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-02-01,0,4,9,3,0,16
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-02-01,0,0,0,1,3,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-02-01,0,0,0,1,0,1
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-02-01,0,0,0,1,1,2
OKINAWA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-02-01,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-02-01,0,0,2,0,0,2
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-02-01,1,2,4,1,0,8
