,group,variable,month,CONDÓN FEMENINO: USUARIAS CONTINUAS < 15,CONDÓN FEMENINO: USUARIAS CONTINUAS 15 - 19,CONDÓN FEMENINO: USUARIAS CONTINUAS 20 - 34,CONDÓN FEMENINO: USUARIAS CONTINUAS 35 - 49,CONDÓN FEMENINO: USUARIAS CONTINUAS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-01-01,0,0,1,0,0,1
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-01-01,0,0,4,5,0,9
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-01-01,0,0,1,0,0,1
SAN ANDRES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-01-01,0,0,12,0,0,12
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-01-01,0,0,12,0,0,12
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-01-01,0,60,144,0,0,204
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-01-01,0,0,64,24,5,93
SANTIVAÑES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-01-01,0,0,0,1,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-01-01,0,0,5,13,3,21
URUBICHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-01-01,0,0,1,1,0,2
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-01-01,0,0,12,0,0,12
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-01-01,0,0,12,0,0,12
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-02-01,0,0,0,1,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-02-01,0,0,6,1,0,7
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-02-01,0,0,1,1,0,2
PAPEL PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-02-01,0,0,0,1,0,1
PORONGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-02-01,0,0,0,12,0,12
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-02-01,0,0,3,1,0,4
SAN PEDRO(PND),"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2023-02-01,0,0,36,12,0,48
