,group,variable,month,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO < 15,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 15 - 19,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 20 - 34,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 35 - 49,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,1,0,3,3,0,7
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,0,0,3,0,0,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,0,0,4,0,0,4
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,0,1,0,1,0,2
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,0,3,21,5,0,29
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,0,0,4,2,0,6
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,0,2,6,6,0,14
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,0,0,3,0,0,3
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,2,0,3,0,0,5
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,1,2,6,3,0,12
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,0,0,6,0,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,0,0,11,0,2,13
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,0,3,21,6,0,30
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,0,4,7,3,0,14
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2023-01-01,0,0,2,1,0,3
