,group,variable,month,ABANDONO DE MÉTODO ANTICONCEPTIVO < 15,ABANDONO DE MÉTODO ANTICONCEPTIVO 15 - 19,ABANDONO DE MÉTODO ANTICONCEPTIVO 20 - 34,ABANDONO DE MÉTODO ANTICONCEPTIVO 35 - 49,ABANDONO DE MÉTODO ANTICONCEPTIVO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ARAMPAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,0,1,0,1
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,2,0,0,2
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,2,0,0,2
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,0,1,0,1
CATACORA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,1,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,1,1,0,2
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,1,1,0,2
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,3,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,1,4,1,0,6
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,1,0,0,1
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,1,0,0,1
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,2,9,2,0,13
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,3,2,0,5
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,1,0,0,1
FILADELFIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,1,0,0,1
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,1,0,0,1
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",abandono de metodo anticonceptivo,2023-01-01,0,0,1,1,0,2
