,group,variable,month,DIU: USUARIAS CONTINUAS < 15,DIU: USUARIAS CONTINUAS 15 - 19,DIU: USUARIAS CONTINUAS 20 - 34,DIU: USUARIAS CONTINUAS 35 - 49,DIU: USUARIAS CONTINUAS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,0,1,0,1
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,2,0,0,2
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,2,0,0,2
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,9,36,9,1,55
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,1,0,0,1
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,0,1,0,1
CUEVO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,1,0,0,1
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,2,11,6,0,19
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,4,1,0,5
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,1,1,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,4,127,26,1,158
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,9,24,14,1,48
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,7,13,0,20
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,0,2,1,3
SAIPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,2,0,0,2
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2023-01-01,0,0,3,0,0,3
