,group,variable,month,NÚMERO DE MUJERES CON IVAA POSITIVOS TRATADAS < 15,NÚMERO DE MUJERES CON IVAA POSITIVOS TRATADAS 15 - 19,NÚMERO DE MUJERES CON IVAA POSITIVOS TRATADAS 20 - 34,NÚMERO DE MUJERES CON IVAA POSITIVOS TRATADAS 35 - 49,NÚMERO DE MUJERES CON IVAA POSITIVOS TRATADAS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-01-01,0,0,1,4,1,6
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-01-01,0,0,47,16,4,67
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-01-01,0,0,18,19,7,44
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-01-01,0,0,9,14,4,27
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-01-01,0,0,9,7,2,18
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-01-01,0,0,0,0,1,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-01-01,0,0,2,7,1,10
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-01-01,0,0,0,0,1,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-02-01,0,0,1,2,0,3
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-02-01,0,1,17,16,6,40
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-02-01,0,0,10,9,2,21
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-02-01,0,0,0,125,0,125
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-02-01,0,0,0,1,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-02-01,0,0,6,8,5,19
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-02-01,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-02-01,0,2,11,10,0,23
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2023-02-01,0,0,1,0,0,1
