,group,variable,month,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,2,0,2,2
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2010-01-01,1,5,1,5,6
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2010-01-01,1,15,1,15,16
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,3,4,3,4,7
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,1,0,1,1
BAURES,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,4,0,4,4
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,8,40,8,40,48
CABEZAS,cirugias y anestesias,anestesias generales y regionales,2010-01-01,6,3,6,3,9
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,16,32,16,32,48
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2010-01-01,77,80,77,80,157
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,2,6,2,6,8
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2010-01-01,9,21,9,21,30
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,1,7,1,7,8
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,10,0,10,0,10
COBIJA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,66,127,66,127,193
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,1585,1329,1585,1329,2914
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,3,4,3,4,7
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,10,0,10,10
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,6,0,6,6
COROICO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,1,0,1,1
COTOCA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,1,7,1,7,8
CULPINA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,18,20,18,20,38
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,319,535,319,535,854
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,13,18,13,18,31
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,1,0,1,1
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,2,3,2,3,5
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2010-01-01,20,59,20,59,79
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2010-01-01,1057,1551,1057,1551,2608
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,3,19,3,19,22
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,7,0,7,7
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,3,0,3,3
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,8,18,8,18,26
MONTERO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,50,127,50,127,177
OCURI,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,1,0,1,1
ORURO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,231,419,231,419,650
PADILLA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,6,10,6,10,16
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,19,44,19,44,63
POTOSI,cirugias y anestesias,anestesias generales y regionales,2010-01-01,714,102,714,102,816
PUERTO QUIJARRO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,1,1,1,1,2
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2010-01-01,46,29,46,29,75
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2010-01-01,29,50,29,50,79
PUNATA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,13,67,13,67,80
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,3,7,3,7,10
