,group,variable,month,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,2,0,2,2
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,1,5,1,5,6
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,1,0,1,0,1
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,3,4,3,4,7
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,1,0,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,4,0,4,4
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,7,24,7,24,31
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,15,20,15,20,35
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,36,39,36,39,75
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,2,6,2,6,8
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,8,16,8,16,24
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,1,7,1,7,8
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,10,0,10,0,10
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,64,124,64,124,188
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,1406,1206,1406,1206,2612
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,3,4,3,4,7
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,5,0,5,5
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,6,0,6,6
COROICO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,1,0,1,1
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,1,7,1,7,8
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,9,13,9,13,22
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,319,535,319,535,854
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,13,18,13,18,31
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,2,3,2,3,5
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,15,54,15,54,69
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,1011,1490,1011,1490,2501
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,3,19,3,19,22
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,7,0,7,7
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,3,0,3,3
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,7,15,7,15,22
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,50,127,50,127,177
OCURI,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,1,0,1,1
ORURO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,231,419,231,419,650
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,6,10,6,10,16
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,19,44,19,44,63
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,225,70,225,70,295
PUERTO QUIJARRO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,1,1,1,1,2
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,15,13,15,13,28
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,1,1,1,1,2
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,13,67,13,67,80
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,3,7,3,7,10
REYES,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,3,8,3,8,11
