,group,variable,month,DPT 5TA DOSIS CANTIDAD,DPT 5TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
LA PAZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-01-01,8,0,8,0,8
COCHABAMBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-02-01,32,0,32,0,32
LA PAZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-02-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-02-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-02-01,0,8,0,8,8
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-02-01,1,0,1,0,1
TOLEDO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-02-01,1,0,1,0,1
LA PAZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-03-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-03-01,9,0,9,0,9
SUCRE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-03-01,1,0,1,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-04-01,2,1,2,1,3
COTOCA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-04-01,1,0,1,0,1
EL TORNO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-04-01,6,0,6,0,6
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-04-01,0,1,0,1,1
SAN IGNACIO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-04-01,7,0,7,0,7
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-04-01,22,56,22,56,78
SUCRE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-04-01,1,0,1,0,1
ALCALA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,55,0,55,55
ATOCHA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,6,0,6,0,6
AZURDUY,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,7,0,7,0,7
BETANZOS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,6,0,6,6
"CAIZA ""D""",vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,7,0,7,7
CALACOTO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,10,0,10,10
CAMARGO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,11,106,11,106,117
CAQUIAVIRI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,3,0,3,3
CARAPARI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,11,0,11,0,11
CATACORA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,15,0,15,15
CHAQUI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,3,9,3,9,12
COBIJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,1,0,1,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,4,3,4,3,7
"COLCHA ""K""",vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,5,7,5,7,12
COTAGAITA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,1,0,1,1
COTOCA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,3,23,3,23,26
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,1,0,1,1
EL ALTO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,1,0,1,0,1
EL PUENTE(TJA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,3,0,3,3
EL TORNO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,53,103,53,103,156
EL VILLAR,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,29,36,29,36,65
FILADELFIA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,3,0,3,3
GUAYARAMERIN,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,16,0,16,0,16
HUACARETA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,37,0,37,37
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,2,41,2,41,43
HUAYLLAMARCA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,4,0,4,0,4
ICLA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,9,38,9,38,47
INCAHUASI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,12,14,12,14,26
LA GUARDIA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,40,0,40,40
LA PAZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,1,9,1,9,10
MACHACAMARCA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,2,0,2,2
MACHARETI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,15,0,15,15
MOJOCOYA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,1,0,1,1
MONTEAGUDO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,26,92,26,92,118
ORURO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,26,0,26,26
PADILLA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,23,51,23,51,74
POTOSI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,28,0,28,28
PRESTO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,47,0,47,47
PUERTO SUAREZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,2,0,2,0,2
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,2,15,2,15,17
PUNA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,2,0,2,0,2
QUILLACOLLO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,2,14,2,14,16
RURRENABAQUE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,22,0,22,22
SAN BORJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,4,0,4,4
SAN LORENZO(PND),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,5,0,5,5
SAN LUCAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,1,88,1,88,89
SAN MATIAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,1,0,1,1
SAN PEDRO(PND),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,12,0,12,12
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,40,0,40,0,40
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,16,0,16,16
SAPAHAQUI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,3,0,3,3
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,28,0,28,28
SUCRE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,53,0,53,53
TARABUCO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,58,94,58,94,152
TARIJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,11,78,11,78,89
TARVITA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,8,0,8,0,8
TOLEDO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,2,0,2,2
TOMINA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,20,0,20,0,20
TOTORA(CBBA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,2,0,2,2
URUBICHA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,6,0,6,6
UYUNI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,1,0,1,0,1
VALLEGRANDE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,4,0,4,0,4
VILLA CHARCAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,1,0,1,0,1
VILLA MONTES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,24,102,24,102,126
VILLA TUNARI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,10,0,10,10
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,15,0,15,15
VILLAZON,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,2,4,2,4,6
YACUIBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,4,0,4,4
YAMPARAEZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,2,10,2,10,12
YOTALA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,14,52,14,52,66
YUNCHARA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,1,33,1,33,34
ZUDAÑEZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-05-01,0,25,0,25,25
ACHACACHI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,7,0,7,7
ALCALA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,27,17,27,17,44
BETANZOS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,5,14,5,14,19
"CAIZA ""D""",vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,4,0,4,4
CALACOTO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,4,0,4,4
