,group,variable,month,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
CHARAGUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-01-01,4,17,4,17,21
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-01-01,0,1,0,1,1
SACABA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-01-01,477,0,477,0,477
ARBIETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-02-01,0,6,0,6,6
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-02-01,43,0,43,0,43
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-02-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-02-01,7,0,7,0,7
TACOBAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-02-01,2,0,2,0,2
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-03-01,8,0,8,0,8
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-03-01,3,40,3,40,43
LURIBAY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-03-01,0,20,0,20,20
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-03-01,11,4,11,4,15
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-03-01,8,0,8,0,8
TARACO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-03-01,0,4,0,4,4
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-03-01,3,0,3,0,3
CAJUATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-04-01,2,5,2,5,7
CAQUIAVIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-04-01,5,1,5,1,6
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-04-01,0,23,0,23,23
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-04-01,6,0,6,0,6
INQUISIVI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-04-01,0,63,0,63,63
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-04-01,8,50,8,50,58
LURIBAY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-04-01,0,55,0,55,55
SAN IGNACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-04-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-04-01,22,56,22,56,78
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-04-01,0,3,0,3,3
TOCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-04-01,0,3,0,3,3
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-04-01,0,1,0,1,1
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,52,0,52,52
BETANZOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,7,0,7,7
"CAIZA ""D""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,7,0,7,7
CALACOTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,10,0,10,10
CAMARGO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,11,106,11,106,117
CAQUIAVIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,3,0,3,3
CARAPARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,11,0,11,0,11
CHAQUI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,3,9,3,9,12
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,1,0,1,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,4,3,4,3,7
"COLCHA ""K""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,4,0,4,0,4
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,1,0,1,1
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,3,23,3,23,26
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,1,0,1,1
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,7,4,7,4,11
EL PUENTE(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,3,0,3,3
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,53,101,53,101,154
EL VILLAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,29,28,29,28,57
FILADELFIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,3,0,3,3
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,13,0,13,0,13
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,37,0,37,37
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,2,41,2,41,43
HUAYLLAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,4,0,4,0,4
ICLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,9,38,9,38,47
INCAHUASI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,12,14,12,14,26
LA GUARDIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,37,0,37,37
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,9,0,9,9
MACHACAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,2,0,2,2
MACHARETI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,15,0,15,15
MONTEAGUDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,26,92,26,92,118
OCURI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,21,0,21,21
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,32,0,32,32
PADILLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,4,39,4,39,43
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,16,0,16,16
PRESTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,47,0,47,47
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,2,0,2,0,2
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,2,16,2,16,18
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,2,14,2,14,16
RAVELO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,10,0,10,10
RURRENABAQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,22,0,22,22
SAN BORJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,4,0,4,4
SAN JOAQUIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,80,0,80,0,80
SAN LORENZO(PND),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,5,0,5,5
SAN LUCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,1,88,1,88,89
SAN MATIAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,1,0,1,1
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,2,0,2,2
SAN PEDRO(PND),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,12,0,12,12
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,97,0,97,97
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,16,0,16,16
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,28,0,28,28
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,53,0,53,53
TAPACARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,9,0,9,9
TARABUCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,58,81,58,81,139
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,3,51,3,51,54
TARVITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,8,0,8,0,8
TOTORA(CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,2,0,2,2
URUBICHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,6,0,6,6
UYUNI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,1,0,1,0,1
