,group,variable,month,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 10 A 14,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 15 A 19,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 20 A 34,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 35 A 49,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 50 Y +,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE < A 10,TOTALES
,,,,ILE en el 2do trimestre del embarazo por causal Riesgo de Salud de la madre,ILE en el 2do trimestre del embarazo por causal Riesgo de Salud de la madre1,ILE en el 2do trimestre del embarazo por causal Riesgo de Salud de la madre2,ILE en el 2do trimestre del embarazo por causal Riesgo de Salud de la madre3,ILE en el 2do trimestre del embarazo por causal Riesgo de Salud de la madre4,ILE en el 2do trimestre del embarazo por causal Riesgo de Salud de la madre5,TOTAL
municipality,,,,,,,,,,
RIBERALTA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-01-01,0,0,0,1,0,0,1
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-01-01,0,1,2,2,0,0,5
SANTA ROSA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-02-01,0,0,0,1,0,0,1
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-02-01,0,2,3,3,0,0,8
EL ALTO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-03-01,0,0,2,0,0,0,2
LA PAZ,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-03-01,0,0,1,0,0,0,1
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-03-01,0,0,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-04-01,0,0,1,0,0,0,1
