,group,variable,month,ILE EN EL 1ER TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 10 A 14,ILE EN EL 1ER TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 15 A 19,ILE EN EL 1ER TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 20 A 34,ILE EN EL 1ER TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 35 A 49,ILE EN EL 1ER TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 50 Y +,ILE EN EL 1ER TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE < A 10,TOTALES
,,,,ILE en el 1er trimestre del embarazo por causal Riesgo de Salud de la madre,ILE en el 1er trimestre del embarazo por causal Riesgo de Salud de la madre1,ILE en el 1er trimestre del embarazo por causal Riesgo de Salud de la madre2,ILE en el 1er trimestre del embarazo por causal Riesgo de Salud de la madre3,ILE en el 1er trimestre del embarazo por causal Riesgo de Salud de la madre4,ILE en el 1er trimestre del embarazo por causal Riesgo de Salud de la madre5,TOTAL
municipality,,,,,,,,,,
EL ALTO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-01-01,0,0,1,0,0,0,1
LA PAZ,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-01-01,0,0,0,6,0,0,6
ORURO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-01-01,0,5,22,6,0,0,33
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-01-01,0,0,1,20,1,0,22
SUCRE,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-01-01,0,1,3,12,5,0,21
TARIJA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-01-01,0,6,36,8,0,0,50
EL ALTO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-02-01,0,0,2,4,2,0,8
LA PAZ,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-02-01,0,0,0,9,0,0,9
ORURO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-02-01,0,4,16,5,0,0,25
POTOSI,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-02-01,0,7,17,2,0,0,26
SAN JOAQUIN,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-02-01,0,0,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-02-01,0,0,4,15,1,0,20
SUCRE,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-02-01,0,1,3,16,6,0,26
TARIJA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-02-01,0,5,21,2,0,0,28
EL ALTO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-03-01,0,0,3,1,0,0,4
LA PAZ,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-03-01,0,0,3,4,0,0,7
ORURO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-03-01,0,1,17,6,0,0,24
POTOSI,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-03-01,1,1,17,1,0,0,20
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-03-01,0,0,9,13,0,0,22
SUCRE,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-03-01,0,4,21,5,2,0,32
TARIJA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-03-01,0,10,33,2,0,0,45
EL ALTO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-04-01,0,0,2,0,0,0,2
LA PAZ,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-04-01,0,0,5,4,0,0,9
ORURO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-04-01,0,3,15,8,0,0,26
POTOSI,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-04-01,0,7,21,7,0,0,35
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-04-01,0,1,8,18,7,0,34
SUCRE,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-04-01,0,6,26,3,0,0,35
TARIJA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-04-01,0,7,40,4,0,0,51
EL ALTO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-05-01,0,1,4,2,0,0,7
ORURO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-05-01,0,7,12,1,0,0,20
POTOSI,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-05-01,0,1,24,7,0,0,32
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-05-01,0,0,2,1,0,0,3
SUCRE,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-05-01,1,2,20,6,0,0,29
TARIJA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-05-01,0,3,32,8,0,0,43
EL ALTO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-06-01,0,0,3,4,0,0,7
LA PAZ,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-06-01,0,1,29,4,0,0,34
ORURO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-06-01,0,4,8,3,0,0,15
POTOSI,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-06-01,0,2,20,5,0,0,27
SAN JOAQUIN,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-06-01,0,0,0,1,0,0,1
SUCRE,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-06-01,0,3,21,7,0,0,31
TARIJA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-06-01,0,6,27,5,0,0,38
COCHABAMBA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,0,1,0,0,0,1
EL ALTO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,0,2,0,0,0,2
LA PAZ,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,0,54,2,0,0,56
MACHARETI,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,0,1,0,0,0,1
ORURO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,0,22,3,0,0,25
POTOSI,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,5,23,7,0,0,35
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,0,7,1,0,0,8
SUCRE,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,3,19,7,0,0,29
TARIJA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,9,34,7,0,0,50
TRINIDAD,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,1,0,0,0,0,1
ATOCHA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-08-01,0,0,0,1,0,0,1
CABEZAS,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-08-01,0,1,2,0,0,0,3
CHARAGUA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-08-01,0,0,3,0,0,0,3
COCHABAMBA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-08-01,0,0,1,1,0,0,2
EL ALTO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-08-01,0,0,1,0,0,0,1
LA PAZ,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-08-01,0,0,9,0,0,0,9
ORURO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-08-01,0,7,19,3,0,0,29
POTOSI,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-08-01,0,2,21,2,0,0,25
RIBERALTA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-08-01,1,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-08-01,1,0,3,0,0,0,4
SUCRE,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-08-01,0,8,14,4,0,0,26
TARIJA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-08-01,0,5,39,4,0,0,48
EL ALTO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,0,0,2,1,0,0,3
ESCOMA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,0,0,0,1,0,0,1
LA PAZ,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,0,0,14,0,0,0,14
ORURO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,0,1,3,0,0,0,4
POTOSI,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,0,4,23,2,0,0,29
SACABA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,0,1,0,0,0,0,1
SAN JOSE DE CHIQUITOS,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,0,0,4,3,0,0,7
SUCRE,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,0,5,21,5,0,0,31
TARIJA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,0,5,27,4,0,0,36
EL ALTO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-10-01,0,0,2,0,0,0,2
LA PAZ,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-10-01,0,0,24,1,0,0,25
ORURO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-10-01,0,1,2,2,0,0,5
POTOSI,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-10-01,0,7,25,5,0,0,37
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-10-01,0,5,10,0,0,0,15
SUCRE,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-10-01,0,4,19,6,0,0,29
TARIJA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-10-01,0,6,38,9,0,0,53
TRINIDAD,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-10-01,0,0,1,0,0,0,1
BETANZOS,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-11-01,0,0,1,0,0,0,1
CHARAGUA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-11-01,0,0,2,0,0,0,2
EL ALTO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-11-01,0,0,2,3,0,0,5
LA PAZ,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-11-01,0,0,22,0,0,0,22
ORURO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-11-01,0,1,3,0,0,0,4
POTOSI,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-11-01,0,5,31,4,0,0,40
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-11-01,0,2,14,5,0,0,21
SUCRE,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-11-01,0,7,11,4,0,0,22
TARIJA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-11-01,4,0,33,6,0,1,44
EL ALTO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-12-01,0,0,1,2,0,0,3
LA PAZ,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-12-01,0,0,44,1,0,0,45
ORURO,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-12-01,0,0,2,0,0,0,2
POTOSI,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-12-01,0,1,21,14,1,0,37
SAN JOAQUIN,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-12-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-12-01,0,9,27,9,0,0,45
SUCRE,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-12-01,0,4,17,7,0,0,28
TARIJA,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-12-01,1,9,22,8,0,0,40
TRINIDAD,interrupcion legal del embarazo,ile en el 1er trimestre del embarazo por causal riesgo de salud de la madre,2024-12-01,1,0,0,0,0,0,1
