,group,variable,month,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL VIOLENCIA SEXUAL 10 A 14,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL VIOLENCIA SEXUAL 15 A 19,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL VIOLENCIA SEXUAL 20 A 34,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL VIOLENCIA SEXUAL 35 A 49,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL VIOLENCIA SEXUAL 50 Y +,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL VIOLENCIA SEXUAL < A 10,TOTALES
,,,,ILE en el 2do trimestre del embarazo por causal Violencia Sexual,ILE en el 2do trimestre del embarazo por causal Violencia Sexual1,ILE en el 2do trimestre del embarazo por causal Violencia Sexual2,ILE en el 2do trimestre del embarazo por causal Violencia Sexual3,ILE en el 2do trimestre del embarazo por causal Violencia Sexual4,ILE en el 2do trimestre del embarazo por causal Violencia Sexual5,TOTAL
municipality,,,,,,,,,,
COCHABAMBA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-01-01,1,0,0,0,0,0,1
SUCRE,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-01-01,0,1,1,3,2,0,7
VINTO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-01-01,0,0,0,1,0,0,1
RIBERALTA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-02-01,0,1,0,0,0,0,1
SUCRE,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-02-01,0,1,0,0,0,0,1
EL ALTO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-03-01,1,0,0,0,0,0,1
LA PAZ,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-03-01,0,1,0,0,0,0,1
ORURO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-03-01,0,0,0,0,0,1,1
SUCRE,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-03-01,1,0,0,0,0,0,1
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-03-01,0,1,0,0,0,0,1
SUCRE,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-04-01,1,0,0,0,0,0,1
ORURO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-05-01,1,0,0,0,0,0,1
POTOSI,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-05-01,1,0,0,0,0,0,1
SACABA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-05-01,1,0,0,0,0,0,1
SUCRE,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-05-01,1,1,0,0,0,0,2
BAURES,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-06-01,0,0,1,0,0,0,1
SUCRE,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-06-01,0,1,0,0,0,0,1
ORURO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-07-01,1,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-07-01,1,2,0,0,0,0,3
SUCRE,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-08-01,1,0,0,0,0,0,1
CHALLAPATA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-09-01,0,0,0,1,0,0,1
EL ALTO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-09-01,0,1,0,0,0,0,1
PUERTO VILLARROEL,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-09-01,0,1,0,0,0,0,1
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-09-01,1,0,0,0,0,0,1
VILLA TUNARI,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-09-01,0,1,0,0,0,0,1
COCHABAMBA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-10-01,0,1,0,0,0,0,1
GUAYARAMERIN,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-10-01,0,1,0,0,0,0,1
PADILLA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-10-01,1,0,0,0,0,0,1
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-10-01,0,1,0,0,0,0,1
CARANAVI,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-11-01,0,1,0,0,0,0,1
EL ALTO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-11-01,0,1,0,0,0,0,1
HUANUNI,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-11-01,1,0,0,0,0,0,1
ORURO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-11-01,1,1,0,0,0,0,2
SUCRE,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-11-01,1,0,4,0,0,0,5
COCHABAMBA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-12-01,1,0,0,0,0,0,1
EL ALTO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-12-01,2,1,0,0,0,0,3
RIBERALTA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-12-01,1,0,0,0,0,0,1
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-12-01,0,1,0,0,0,0,1
TRINIDAD,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal violencia sexual,2024-12-01,1,0,0,0,0,0,1
