,group,variable,month,ILE EN EL 3ER TRIMESTRE DE EMBARAZO CAUSAL MALFORMACION CONGENITA INCOMPATIBLE CON LA VIDA 10 A 14,ILE EN EL 3ER TRIMESTRE DE EMBARAZO CAUSAL MALFORMACION CONGENITA INCOMPATIBLE CON LA VIDA 15 A 19,ILE EN EL 3ER TRIMESTRE DE EMBARAZO CAUSAL MALFORMACION CONGENITA INCOMPATIBLE CON LA VIDA 20 A 34,ILE EN EL 3ER TRIMESTRE DE EMBARAZO CAUSAL MALFORMACION CONGENITA INCOMPATIBLE CON LA VIDA 35 A 49,ILE EN EL 3ER TRIMESTRE DE EMBARAZO CAUSAL MALFORMACION CONGENITA INCOMPATIBLE CON LA VIDA 50 Y +,ILE EN EL 3ER TRIMESTRE DE EMBARAZO CAUSAL MALFORMACION CONGENITA INCOMPATIBLE CON LA VIDA < A 10,TOTALES
,,,,ILE en el 3er trimestre de embarazo causal Malformacion Congenita incompatible con la vida,ILE en el 3er trimestre de embarazo causal Malformacion Congenita incompatible con la vida1,ILE en el 3er trimestre de embarazo causal Malformacion Congenita incompatible con la vida2,ILE en el 3er trimestre de embarazo causal Malformacion Congenita incompatible con la vida3,ILE en el 3er trimestre de embarazo causal Malformacion Congenita incompatible con la vida4,ILE en el 3er trimestre de embarazo causal Malformacion Congenita incompatible con la vida5,TOTAL
municipality,,,,,,,,,,
CAMARGO,interrupcion legal del embarazo,ile en el 3er trimestre de embarazo causal malformacion congenita incompatible con la vida,2024-01-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
YACUIBA,interrupcion legal del embarazo,ile en el 3er trimestre de embarazo causal malformacion congenita incompatible con la vida,2024-01-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SUCRE,interrupcion legal del embarazo,ile en el 3er trimestre de embarazo causal malformacion congenita incompatible con la vida,2024-07-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
EL ALTO,interrupcion legal del embarazo,ile en el 3er trimestre de embarazo causal malformacion congenita incompatible con la vida,2024-08-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ORURO,interrupcion legal del embarazo,ile en el 3er trimestre de embarazo causal malformacion congenita incompatible con la vida,2024-08-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
TUPIZA,interrupcion legal del embarazo,ile en el 3er trimestre de embarazo causal malformacion congenita incompatible con la vida,2024-08-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
COCHABAMBA,interrupcion legal del embarazo,ile en el 3er trimestre de embarazo causal malformacion congenita incompatible con la vida,2024-11-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
SUCRE,interrupcion legal del embarazo,ile en el 3er trimestre de embarazo causal malformacion congenita incompatible con la vida,2024-11-01,0.0,0.0,5.0,0.0,0.0,0.0,5.0
ORURO,interrupcion legal del embarazo,ile en el 3er trimestre de embarazo causal malformacion congenita incompatible con la vida,2024-12-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
