municipality,group,variable,month,DIU: Usuarias nuevas,TOTAL
AIQUILE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,1,1
ANTEQUERA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,3,3
ANZALDO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,1,1
APOLO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,1,1
ATOCHA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,1,1
AZURDUY,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,1,1
BERMEJO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,8,8
BUENA VISTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,3,3
CALAMARCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,1,1
CAMARGO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,5,5
CAMIRI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,5,5
CAPINOTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,3,3
CARACOLLO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,2,2
CARANAVI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,8,8
CHARAGUA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,2,2
CHIMORE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,2,2
CLIZA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,1,1
COBIJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,22,22
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,316,316
COLCAPIRHUA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,6,6
COLOMI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,10,10
COLPA BELGICA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,1,1
COMARAPA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,3,3
CONCEPCION,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,2,2
COTAGAITA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,1,1
COTOCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2005-01-01,11,11
