municipality,group,variable,month,Mujeres embarazadas que recibieron 90 tabletas de,TOTAL
ACACIO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,6,6
ACHACACHI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,104,104
ACHOCALLA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,18,18
AIQUILE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,80,80
ALALAY,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,4,4
ALCALA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,7,7
ANCORAIMES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,33,33
ANDAMARCA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,8,8
ANTEQUERA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,4,4
ANZALDO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,14,14
APOLO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,25,25
ARAMPAMPA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,5,5
ARANI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,13,13
ARBIETO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,7,7
ARQUE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,24,24
ASCENCION DE GUARAYOS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,89,89
ATOCHA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,6,6
AUCAPATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,5,5
AYATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,14,14
AYO AYO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,40,40
AZURDUY,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,17,17
BATALLAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,21,21
BAURES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,6,6
BELEN DE ANDAMARCA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,2,2
BELLA FLOR,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,5,5
BERMEJO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,29,29
BETANZOS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,29,29
BOLIVAR,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,19,19
BOLPEBRA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,2,2
