municipality,group,variable,month,Niños de 6 meses a menores de 2 años con dosis com,TOTAL
ACHACACHI,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,45,45
AIQUILE,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,23,23
ALALAY,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,16,16
ALCALA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,67,67
ANZALDO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,4,4
APOLO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,33,33
ARAMPAMPA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,5,5
ARBIETO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,3,3
ARQUE,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,34,34
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,26,26
ATOCHA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,2,2
AUCAPATA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,4,4
AYATA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,14,14
AYO AYO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,44,44
AZURDUY,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,22,22
BATALLAS,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,22,22
BAURES,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,3,3
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,2,2
BELEN DE URMIRI,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,2,2
BELLA FLOR,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,6,6
BERMEJO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,17,17
BOLIVAR,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,17,17
BOYUIBE,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,3,3
BUENA VISTA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,97,97
CAIROMA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,34,34
CAJUATA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,23,23
CALAMARCA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,22,22
CAMARGO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,2,2
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,2,2
CAMIRI,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,66,66
CAPINOTA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,2,2
CAQUIAVIRI,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,31,31
CARACOLLO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,3,3
CARANAVI,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,44,44
CARAPARI,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,11,11
CARMEN RIVERO TORREZ,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,15,15
CATACORA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,11,11
CHACARILLA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,45,45
CHALLAPATA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2007-01-01,46,46
