municipality,group,variable,month,Mujeres puérperas que recibieron dosis única de vi,TOTAL
ACACIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,12,12
ACHACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,48,48
ACHOCALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
AIQUILE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,46,46
ALALAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,3,3
ALCALA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,7,7
ANCORAIMES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,27,27
ANDAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,7,7
ANZALDO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,4,4
APOLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,29,29
ARAMPAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,9,9
ARANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,5,5
ARBIETO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,9,9
ARQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,13,13
ASCENCION DE GUARAYOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,55,55
ATOCHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,15,15
AUCAPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,1,1
AYATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,14,14
AYO AYO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,35,35
AZURDUY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,25,25
BATALLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,17,17
BAURES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
BELLA FLOR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,5,5
BERMEJO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,46,46
BETANZOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,34,34
BOLIVAR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,13,13
BOYUIBE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,4,4
BUENA VISTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,19,19
CABEZAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,21,21
CAIROMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,10,10
"CAIZA ""D""",nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,16,16
CAJUATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,7,7
CALACOTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,3,3
CALAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,15,15
CAMARGO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,31,31
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
CAMIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
CAPINOTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,34,34
CAQUIAVIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,13,13
CARACOLLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,36,36
CARANAVI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,96,96
CARAPARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,14,14
CARIPUYO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,18,18
CARMEN RIVERO TORREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,4,4
CATACORA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,3,3
CHACARILLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,1,1
CHALLAPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,48,48
CHAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,8,8
CHARAGUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,55,55
CHARAÑA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
CHAYANTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,20,20
CHIMORE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,13,13
CHIPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,4,4
CHOQUE COTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,25,25
CHUMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,14,14
CLIZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,18,18
COBIJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,93,93
COCHABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,380,380
COLCAPIRHUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,14,14
"COLCHA ""K""",nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,16,16
COLLANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,3,3
