,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHOCALLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,0,1,1
ARQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,0,1
BELEN DE ANDAMARCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,0,1,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,2,0,2
CAMARGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,1,2
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,3,2,5
CARAPARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,0,1
CHARAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,0,1,1
CHAYANTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,0,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,3,0,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,0,1
CLIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,7,3,10
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,1,2
CULPINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,0,1
CURAHUARA DE CARANGAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,13,10,23
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,2,0,2
FILADELFIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,3,4
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,10,8,18
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,0,1,1
MECAPACA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,0,1,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,4,4,8
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,2,0,2
PADILLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,0,1
PUERTO RICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,7,1,8
PUNA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,1,0,1
PUNATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,2,1,3
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2011-01-01,4,4,8
