,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,0,1
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,3,0,3
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,2,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,1,2
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,2,1,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,2,2,4
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,2,0,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,0,1
PAZÑA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,1,2
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,14,5,19
SANTIAGO DE HUARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,0,1,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,1,2
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,2,0,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,2,0,2
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-01-01,2,0,2
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,2,0,2
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
