,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,0,1
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,2,1,3
ALTO BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,1,2
APOLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,2,0,2
BATALLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,0,1,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,3,1,4
BUENA VISTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,2,0,2
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,2,0,2
"CAIZA ""D""",tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,0,1,1
CAJUATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,0,1,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,4,5
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,9,7,16
CARAPARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,1,2
CHALLAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,0,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,2,1,3
CHUMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,0,1
CLIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,0,1,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,3,0,3
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,9,9,18
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,2,0,2
COLOMI,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,1,2
COLPA BELGICA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,0,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,0,1,1
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,0,1,1
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,0,1,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,3,1,4
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,2,2,4
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,20,10,30
EL PUENTE(TJA),tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,0,1,1
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,3,2,5
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,0,1,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,0,1
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,2,1,3
INCAHUASI,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,0,1
INQUISIVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,1,0,1
IXIAMAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2011-01-01,0,1,1
