,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,2,1,3
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,2,0,2
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,2,3
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,2,0,2
CAIROMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,2,5,7
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,11,9,20
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,2,0,2
CHUMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,2,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,5,1,6
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,17,11,28
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,4,0,4
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,3,1,4
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,2,2,4
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,39,19,58
EL PUENTE(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,3,2,5
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,5,1,6
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
