,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,0,1,1
COLQUIRI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,0,1,1
PADILLA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,0,1,1
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,0,1,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,2,0,2
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-01-01,7,3,10
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,1,2,3
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,0,1,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,1,2,3
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-02-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-03-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-03-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-03-01,0,1,1
