,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR (P.Q.T.) CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR (P.Q.T.) CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-01-01,1,1,2
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-01-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-02-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-02-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-03-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-03-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-04-01,2,1,3
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-04-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-04-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-05-01,1,2,3
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-05-01,1,2,3
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-05-01,1,2,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-06-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-06-01,1,0,1
REYES,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-06-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-06-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-07-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-07-01,0,0,0
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-08-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-08-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-08-01,3,1,4
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-08-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-08-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-08-01,1,2,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-09-01,2,3,5
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-09-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-09-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-09-01,0,0,0
