,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ARANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,1,1,2
BATALLAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,1,0,1
BUENA VISTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,0,1,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,1,1,2
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,1,1,2
CLIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,0,1,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,2,0,2
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,6,4,10
CUCHUMUELA (V. G. VILLARROEL),tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,3,1,4
EL VILLAR,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,16,7,23
PADILLA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,1,1,2
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,0,1,1
PALCA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,1,0,1
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,9,0,9
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,1,0,1
PUERTO PEREZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,1,0,1
PUNATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,0,1,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,0,1,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,0,1,1
SAN AGUSTIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,1,0,1
SAN ANDRES DE MACHACA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,0,1,1
SAN LUCAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,5,6,11
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,0,2,2
TEOPONTE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,0,1,1
TIPUANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,2,0,2
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,1,1,2
VACAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,2,0,2
VINTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,2,0,2
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-01-01,1,1,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,0,1,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,0,2,2
COTOCA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,4,2,6
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,0,1,1
HUANUNI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,14,4,18
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
