,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,1,2
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,11,8,19
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,7,8
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,4,2,6
ALALAY,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,0,1
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,2,6,8
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,2,0,2
ANTEQUERA,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,0,1
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,2,0,2
APOLO,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,3,0,3
ARAMPAMPA,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,0,1
ARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,1,2
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,1,2
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,2,1,3
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,2,0,2
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,0,1
AYATA,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,6,3,9
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,3,7,10
BELEN DE ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,0,1,1
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,21,15,36
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,3,4,7
BOLIVAR,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,3,4
BOYUIBE,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,0,1
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,3,1,4
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,7,2,9
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,2,3
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,3,4
CALACOTO,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,3,1,4
CALAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,2,3,5
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,7,4,11
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,1,2
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,9,11,20
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,4,5,9
CAQUIAVIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,3,1,4
CARACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,13,6,19
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,58,47,105
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,4,1,5
CARIPUYO,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,1,1,2
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,2,0,2
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,8,3,11
CHARAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,6,5,11
CHAYANTA,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,4,1,5
CHIMORE,tuberculosis y lepra,n de sintomaticos respiratorios,2011-01-01,13,8,21
