,group,variable,month,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,0,1
CAIROMA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,0,1,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,5,6,11
CARAPARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,0,1,1
CKOCHAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,4,3,7
COLOMI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,0,1,1
COLPA BELGICA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,0,1
COMARAPA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,1,2
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,6,6,12
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,2,3
IXIAMAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,2,0,2
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,2,3,5
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,3,4
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,0,1,1
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,5,2,7
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,0,1,1
PADILLA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,3,1,4
PAMPA GRANDE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,3,4
PORVENIR,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,5,1,6
PUNATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,0,2,2
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,0,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,0,2,2
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,0,1
SAN BUENA VENTURA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,0,2,2
SAN CARLOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,1,2
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,3,1,4
SAN PEDRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,7,5,12
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,3,4,7
SIPE SIPE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,1,2
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,2,3
TARABUCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,0,1
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,3,2,5
