,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR (P.Q.T.) CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR (P.Q.T.) CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-01-01,3,0,3
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-01-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-02-01,4,0,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-02-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-03-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-04-01,5,0,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-04-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-05-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-05-01,2,1,3
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-05-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-05-01,4,2,6
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-06-01,4,3,7
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-06-01,3,1,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-07-01,6,1,7
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-07-01,0,0,0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-08-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-08-01,3,1,4
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-08-01,4,2,6
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-08-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-09-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-09-01,0,0,0
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-09-01,1,0,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-10-01,0,30,30
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-10-01,0,46,46
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-10-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-10-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-10-01,0,0,0
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-10-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-11-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-12-01,3,1,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2011-12-01,0,2,2
