,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,0,1,1
CAJUATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,1,0,1
CAMARGO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,2,0,2
CARACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,2,1,3
CHIMORE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,1,0,1
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,0,2,2
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,7,5,12
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,2,0,2
COLQUIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,16,7,23
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,0,1,1
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,2,0,2
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,16,20,36
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,2,0,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,1,7,8
PALCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,0,1,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,6,1,7
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,1,3,4
QUIME,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,1,1,2
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,18,19,37
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,2,0,2
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,1,2,3
VILLA MONTES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,0,1,1
VILLAZON,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,1,1,2
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,1,0,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,0,2,2
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-01-01,2,0,2
AIQUILE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-02-01,1,0,1
BATALLAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-02-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-02-01,7,2,9
CORO CORO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-02-01,1,0,1
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-02-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-02-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-02-01,12,13,25
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2011-02-01,0,3,3
