municipality,group,variable,month,Nacidos muertos atendidos por personal de sal,TOTAL
ANCORAIMES,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
AYATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
PELECHUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,2,2
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-01-01,1,1
BATALLAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-02-01,1,1
COMANCHE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-02-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-02-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-02-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2007-02-01,1,1
