municipality,group,variable,month,Nacidos vivos atendidos por partera capacitad,TOTAL
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
ALCALA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,7,7
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,11,11
ARBIETO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
ATOCHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,6,6
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,7,7
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,6,6
BERMEJO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,7,7
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,4,4
CHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,8,8
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,32,32
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
COMARAPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
COMBAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
CUEVO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
CULPINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,7,7
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
ENTRE RIOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
FILADELFIA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
HUACARETA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
HUACHACALLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
ICHOCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,5,5
INQUISIVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,4,4
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
LICOMA PAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
LURIBAY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
MOCOMOCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
MOJOCOYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,4,4
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,9,9
OMEREQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
PADILLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
PAPEL PAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
PASORAPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
PAZÑA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,5,5
POCONA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
POROMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
PORTACHUELO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
PRESTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,12,12
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
PUERTO RICO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
PUNA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,9,9
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,6,6
ROBORE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
SABAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,26,26
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
SAMAIPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
SAN ANDRES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
SAN ANDRES DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,12,12
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
SAN LUCAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,11,11
SAN MATIAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,6,6
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
SAN RAFAEL,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
SORACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,4,4
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
TACOBAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,4,4
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,11,11
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
TARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
TARACO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
TARIJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
TEOPONTE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,12,12
TOMAVE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
TOMINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
TOTORA(ORR),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
TUPIZA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
TURCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
UNCIA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
URUBICHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,4,4
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,6,6
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
VITICHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,2,2
YACO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
YAPACANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,4,4
YUNCHARA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-01-01,3,3
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,4,4
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,4,4
