municipality,group,variable,month,Nacidos vivos atendidos por personal de salud,TOTAL
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,2,2
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,18,18
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,4,4
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,2,2
ALALAY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,3,3
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,7,7
ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,5,5
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,3,3
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,3,3
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,7,7
ARANI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,7,7
ARBIETO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,6,6
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,4,4
ATOCHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,6,6
AUCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,2,2
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,5,5
AYO AYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,5,5
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,9,9
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,1,1
BAURES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,2,2
BELLA FLOR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,3,3
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,17,17
BOLIVAR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,13,13
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,6,6
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,7,7
CAJUATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,4,4
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,4,4
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,1,1
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,3,3
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,3,3
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,7,7
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,17,17
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,12,12
CARAPARI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,5,5
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,9,9
CATACORA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,2,2
CHACARILLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,14,14
CHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,3,3
CHARAGUA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,10,10
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,12,12
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2007-01-01,3,3
