municipality,group,variable,month,Partos atendidos por partera capacitada u otr,TOTAL
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
AIQUILE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
ALCALA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,8,8
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,11,11
ARBIETO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,6,6
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
ATOCHA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,6,6
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,7,7
BATALLAS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,6,6
BERMEJO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
CALACOTO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
CAMARGO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
CAMIRI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
CARANAVI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
