municipality,group,variable,month,Niños menores de 5 años con 3ra dosis de hier,TOTAL
ACHOCALLA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,3,3
ANTEQUERA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,1,1
APOLO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,1,1
ARANI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,1,1
ARQUE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,29,29
AUCAPATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,9,9
BATALLAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,39,39
BAURES,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,4,4
BELEN DE URMIRI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,7,7
BELLA FLOR,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,16,16
BERMEJO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,17,17
BOLIVAR,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,15,15
BUENA VISTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,68,68
CABEZAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,12,12
CAJUATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,14,14
CAMIRI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,27,27
CAPINOTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,15,15
CARANAVI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,66,66
CARAPARI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,34,34
CARMEN RIVERO TORREZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,13,13
CHARAGUA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,14,14
CHIMORE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,14,14
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,7,7
CLIZA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,2,2
COBIJA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,81,81
COCHABAMBA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,61,61
