municipality,group,variable,month,Niños de 6 a 11 meses con dosis única de vitam,TOTAL
ACACIO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,10,10
ACHACACHI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,92,92
ACHOCALLA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,19,19
AIQUILE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,15,15
ALALAY,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,12,12
ANCORAIMES,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,27,27
ANDAMARCA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
ANTEQUERA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,5,5
ANZALDO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,5,5
APOLO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,28,28
ARAMPAMPA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,7,7
ARANI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,11,11
ARBIETO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,16,16
ARQUE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,16,16
ATOCHA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,44,44
AUCAPATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,5,5
AYATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,23,23
AYO AYO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,27,27
AZURDUY,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,25,25
BATALLAS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,28,28
BAURES,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,9,9
BELEN DE ANDAMARCA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
