municipality,group,variable,month,Niños menores de 5 años con 1ra dosis de hier,TOTAL
AIQUILE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,135,135
ARBIETO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,15,15
ATOCHA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,16,16
BAURES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,46,46
BELEN DE URMIRI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,9,9
BERMEJO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,46,46
BOLIVAR,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,10,10
BOYUIBE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,3,3
BUENA VISTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,3,3
CABEZAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,22,22
"CAIZA ""D""",micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,1,1
CAMIRI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,66,66
CAPINOTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,106,106
CARMEN RIVERO TORREZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,10,10
CHARAGUA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,112,112
CLIZA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,12,12
COBIJA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,127,127
COCHABAMBA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,166,166
CONCEPCION,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,6,6
CUATRO CAÑADAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,69,69
EL PUENTE(STC),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,165,165
EL PUENTE(TJA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,258,258
ENTRE RIOS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,5,5
GUTIERREZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,59,59
HUARACAJE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2005-01-01,16,16
