municipality,group,variable,month,Niños (as) de 6 meses a menor de 1 año con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,8,8
ACHACACHI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,69,69
ACHOCALLA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,19,19
AIQUILE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,32,32
ALALAY,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,3,3
ALCALA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,7,7
ALTO BENI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,24,24
ANCORAIMES,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,9,9
ANDAMARCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,8,8
ANTEQUERA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,5,5
ANZALDO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,14,14
APOLO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,32,32
ARAMPAMPA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,12,12
ARANI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,11,11
ARBIETO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,25,25
ARQUE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,12,12
ASCENCION DE GUARAYOS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,33,33
ATOCHA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,21,21
AUCAPATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,5,5
AYATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,17,17
AYO AYO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,27,27
AZURDUY,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,22,22
BATALLAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,28,28
BAURES,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,9,9
BELEN DE ANDAMARCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,1,1
BELEN DE URMIRI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,3,3
BERMEJO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,74,74
BETANZOS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,32,32
BOLIVAR,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,14,14
BOLPEBRA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,3,3
BOYUIBE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,8,8
BUENA VISTA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,28,28
CABEZAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,39,39
CAIROMA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,14,14
"CAIZA ""D""",micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,8,8
CAJUATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,20,20
CALACOTO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,6,6
CALAMARCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,13,13
CAMARGO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,28,28
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,3,3
CAMIRI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,47,47
CAPINOTA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,33,33
CAQUIAVIRI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,5,5
CARACOLLO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,48,48
CARANAVI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,64,64
CARAPARI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,17,17
CARIPUYO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,15,15
CARMEN RIVERO TORREZ,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,11,11
CHACARILLA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,1,1
CHALLAPATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,54,54
CHAQUI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,1,1
CHARAGUA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,170,170
CHAYANTA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,23,23
CHIMORE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,21,21
CHOQUE COTA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,32,32
CHUMA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,11,11
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,7,7
CKOCHAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,33,33
CLIZA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,40,40
COBIJA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,80,80
COCAPATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,34,34
COCHABAMBA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,656,656
COIPASA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,1,1
COLCAPIRHUA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,46,46
"COLCHA ""K""",micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,7,7
COLLANA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,1,1
COLOMI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,40,40
COLPA BELGICA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,9,9
COLQUECHACA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,112,112
COLQUENCHA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,18,18
COLQUIRI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,36,36
COMARAPA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,37,37
COMBAYA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,4,4
CONCEPCION,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,8,8
COPACABANA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,18,18
CORIPATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,14,14
CORO CORO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,14,14
COROICO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,26,26
CORQUE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,6,6
COTAGAITA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,29,29
COTOCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,76,76
CUATRO CAÑADAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,36,36
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,1,1
CUEVO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,8,8
CULPINA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,26,26
CURAHUARA DE CARANGAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,10,10
CURVA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,1,1
DESAGUADERO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,4,4
EL ALTO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,1176,1176
EL CHORO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,8,8
EL PUENTE(STC),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,19,19
EL PUENTE(TJA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,14,14
EL TORNO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,77,77
EL VILLAR,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,3,3
ENTRE RIOS TRJ,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,44,44
ENTRE RIOS CBBA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,69,69
ESCOMA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,4,4
ESMERALDA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,1,1
EUCALIPTUS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,15,15
EUREKA (SANTOS MERCADO),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,2,2
EXALTACION,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,4,4
FERNANDEZ ALONSO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,21,21
FILADELFIA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,7,7
GENERAL SAAVEDRA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,28,28
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,17,17
GUANAY,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,18,18
GUAQUI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,5,5
GUAYARAMERIN,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,73,73
GUTIERREZ,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,53,53
HUACARETA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,31,31
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,5,5
HUACHACALLA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,2,2
HUANUNI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,57,57
HUARACAJE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2010-01-01,5,5
