,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta nueva,2023-01-01,31,20,41,44,17,63,15,71,2,9,0,13,0,0,326
ACHACACHI,atencion odontologica,consulta nueva,2023-01-01,84,96,228,248,184,192,140,433,22,71,0,19,0,9,1726
ACHOCALLA,atencion odontologica,consulta nueva,2023-01-01,130,83,203,338,122,167,52,251,20,23,0,23,0,13,1425
AIQUILE,atencion odontologica,consulta nueva,2023-01-01,21,39,125,146,52,97,60,179,14,21,0,20,0,2,776
ALALAY,atencion odontologica,consulta nueva,2023-01-01,0,0,7,6,25,14,9,17,0,3,0,0,0,0,81
ALCALA,atencion odontologica,consulta nueva,2023-01-01,9,3,30,25,15,53,38,83,2,1,0,1,0,1,261
ALTO BENI,atencion odontologica,consulta nueva,2023-01-01,16,12,86,85,36,59,42,70,1,0,0,5,0,0,412
ANCORAIMES,atencion odontologica,consulta nueva,2023-01-01,11,10,37,48,77,48,53,85,30,33,0,2,0,0,434
ANDAMARCA,atencion odontologica,consulta nueva,2023-01-01,32,33,33,57,66,22,23,106,17,11,0,6,0,0,406
ANTEQUERA,atencion odontologica,consulta nueva,2023-01-01,22,9,39,32,7,33,89,35,4,2,0,3,0,0,275
ANZALDO,atencion odontologica,consulta nueva,2023-01-01,0,1,22,8,6,9,18,35,2,10,0,0,0,0,111
APOLO,atencion odontologica,consulta nueva,2023-01-01,7,7,18,25,16,18,18,45,4,6,0,2,0,1,167
ARAMPAMPA,atencion odontologica,consulta nueva,2023-01-01,11,32,22,13,17,11,26,36,6,13,0,2,0,0,189
