,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,restauraciones,2023-01-01,9,6,15,14,10,15,5,35,0,1,0,0,0,0,110
ACHACACHI,atencion odontologica,restauraciones,2023-01-01,36,33,117,204,115,152,70,229,6,8,0,0,0,0,970
ACHOCALLA,atencion odontologica,restauraciones,2023-01-01,38,18,74,123,61,72,12,93,0,3,0,0,0,0,494
AIQUILE,atencion odontologica,restauraciones,2023-01-01,8,38,87,96,48,79,52,197,10,12,0,0,0,0,627
ALALAY,atencion odontologica,restauraciones,2023-01-01,0,0,1,0,17,7,1,1,0,0,0,0,0,0,27
ALCALA,atencion odontologica,restauraciones,2023-01-01,4,2,23,16,12,43,29,61,0,1,0,0,0,0,191
ALTO BENI,atencion odontologica,restauraciones,2023-01-01,2,0,16,23,23,34,21,36,0,0,0,0,0,0,155
ANCORAIMES,atencion odontologica,restauraciones,2023-01-01,4,11,14,11,42,22,24,28,9,9,0,0,0,0,174
ANDAMARCA,atencion odontologica,restauraciones,2023-01-01,16,22,11,20,49,9,14,60,2,0,0,0,0,0,203
ANTEQUERA,atencion odontologica,restauraciones,2023-01-01,2,0,6,0,2,3,58,12,2,0,0,0,0,0,85
ANZALDO,atencion odontologica,restauraciones,2023-01-01,0,0,6,1,5,5,6,12,1,3,0,0,0,0,39
APOLO,atencion odontologica,restauraciones,2023-01-01,1,0,1,0,1,1,0,2,0,0,0,0,0,0,6
ARAMPAMPA,atencion odontologica,restauraciones,2023-01-01,4,11,5,2,5,0,0,3,0,0,0,0,0,0,30
ARANI,atencion odontologica,restauraciones,2023-01-01,11,2,18,40,29,37,22,61,6,3,0,0,0,0,229
