,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,4,2,4,4,2,10,0,4,0,0,0,0,30
ACHACACHI,atencion odontologica,cirugia bucal menor,2023-01-01,6,5,44,47,26,17,38,77,11,35,0,0,0,0,306
ACHOCALLA,atencion odontologica,cirugia bucal menor,2023-01-01,3,1,48,51,20,30,17,49,9,12,0,0,0,0,240
AIQUILE,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,5,11,0,1,3,3,3,0,0,0,0,0,26
ALALAY,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ALCALA,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,7,12,2,6,10,21,3,0,0,0,0,0,62
ALTO BENI,atencion odontologica,cirugia bucal menor,2023-01-01,2,1,20,12,3,3,11,18,1,0,0,0,0,0,71
ANCORAIMES,atencion odontologica,cirugia bucal menor,2023-01-01,0,2,17,25,22,23,13,43,22,26,0,0,0,0,193
ANDAMARCA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,3,14,4,1,3,12,5,0,0,0,0,0,42
ANTEQUERA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,1,7,2,1,4,4,0,1,0,0,0,0,20
ANZALDO,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,5,7,1,5,6,20,1,4,0,0,0,0,49
APOLO,atencion odontologica,cirugia bucal menor,2023-01-01,0,1,3,6,4,7,6,14,1,1,0,0,0,0,43
