,group,variable,month,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA EMB,PERIODONCIA EMB,PERIODONCIA POST,PERIODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,periodoncia,2023-01-01,0,0,0,0,1,0,1,5,0,0,0,0,0,0,7
ACHACACHI,atencion odontologica,periodoncia,2023-01-01,0,0,0,0,6,9,11,44,0,2,0,0,0,0,72
ACHOCALLA,atencion odontologica,periodoncia,2023-01-01,0,0,1,1,5,12,6,37,5,1,0,0,0,0,68
AIQUILE,atencion odontologica,periodoncia,2023-01-01,0,0,0,0,0,2,3,7,0,6,0,0,0,0,18
ALALAY,atencion odontologica,periodoncia,2023-01-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4
ALCALA,atencion odontologica,periodoncia,2023-01-01,0,0,0,1,2,1,4,2,0,0,0,0,0,0,10
ALTO BENI,atencion odontologica,periodoncia,2023-01-01,0,0,1,0,0,1,4,8,0,0,0,0,0,0,14
ANCORAIMES,atencion odontologica,periodoncia,2023-01-01,0,0,0,0,2,1,4,4,1,0,0,0,0,0,12
ANDAMARCA,atencion odontologica,periodoncia,2023-01-01,0,0,0,0,0,0,0,4,6,5,0,0,0,0,15
ANTEQUERA,atencion odontologica,periodoncia,2023-01-01,0,0,1,0,1,5,10,8,1,0,0,0,0,0,26
ANZALDO,atencion odontologica,periodoncia,2023-01-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
APOLO,atencion odontologica,periodoncia,2023-01-01,0,0,0,0,3,2,1,1,0,0,0,0,0,0,7
ARAMPAMPA,atencion odontologica,periodoncia,2023-01-01,0,0,0,1,2,4,7,14,0,1,0,0,0,0,29
ARANI,atencion odontologica,periodoncia,2023-01-01,0,0,0,0,1,2,1,12,1,2,0,0,0,0,19
