,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,endodoncia,2023-01-01,1,0,1,0,0,2,0,2,1,1,0,0,0,0,8
ACHACACHI,atencion odontologica,endodoncia,2023-01-01,3,0,3,9,2,10,6,26,0,1,0,0,0,0,60
ACHOCALLA,atencion odontologica,endodoncia,2023-01-01,4,0,6,13,6,3,4,18,0,0,0,0,0,0,54
AIQUILE,atencion odontologica,endodoncia,2023-01-01,0,2,1,2,0,5,0,10,2,2,0,0,0,0,24
ALCALA,atencion odontologica,endodoncia,2023-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ALTO BENI,atencion odontologica,endodoncia,2023-01-01,0,0,4,2,2,0,5,4,0,0,0,0,0,0,17
ANCORAIMES,atencion odontologica,endodoncia,2023-01-01,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
ANTEQUERA,atencion odontologica,endodoncia,2023-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
ANZALDO,atencion odontologica,endodoncia,2023-01-01,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
APOLO,atencion odontologica,endodoncia,2023-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
ARANI,atencion odontologica,endodoncia,2023-01-01,0,0,0,1,1,1,1,4,0,1,0,0,0,0,9
ARBIETO,atencion odontologica,endodoncia,2023-01-01,1,0,7,11,1,7,0,6,0,0,0,0,0,0,33
ARQUE,atencion odontologica,endodoncia,2023-01-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
ASCENCION DE GUARAYOS,atencion odontologica,endodoncia,2023-01-01,8,11,19,7,7,3,3,17,0,0,0,0,0,0,75
