,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
BETANZOS,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CABEZAS,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,0,1,2,0,0,0,3,0,1,0,0,0,0,7
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
DESAGUADERO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,0,0,0,0,2,3,2,0,1,0,0,0,0,8
MORO MORO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
