,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta repetida,2023-01-01,6,0,3,0,1,3,3,7,2,2,0,0,0,0,27
ACHACACHI,atencion odontologica,consulta repetida,2023-01-01,5,5,25,32,33,29,19,51,1,2,0,1,0,0,203
ACHOCALLA,atencion odontologica,consulta repetida,2023-01-01,1,0,1,11,11,16,1,18,1,6,0,0,0,0,66
AIQUILE,atencion odontologica,consulta repetida,2023-01-01,0,1,3,6,1,4,6,21,1,3,0,1,0,0,47
ALCALA,atencion odontologica,consulta repetida,2023-01-01,2,0,2,13,3,11,7,22,0,0,0,0,0,0,60
ANCORAIMES,atencion odontologica,consulta repetida,2023-01-01,1,7,4,8,0,2,2,1,2,1,0,0,0,0,28
ANDAMARCA,atencion odontologica,consulta repetida,2023-01-01,0,0,4,1,0,0,0,2,0,0,0,0,0,0,7
ANTEQUERA,atencion odontologica,consulta repetida,2023-01-01,0,0,1,0,3,8,16,0,0,0,0,0,0,0,28
ANZALDO,atencion odontologica,consulta repetida,2023-01-01,0,0,4,1,1,6,2,11,0,7,0,0,0,0,32
ARAMPAMPA,atencion odontologica,consulta repetida,2023-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
ARANI,atencion odontologica,consulta repetida,2023-01-01,2,3,3,6,8,6,8,13,0,5,0,0,0,0,54
ARBIETO,atencion odontologica,consulta repetida,2023-01-01,0,0,0,3,2,1,0,2,0,0,0,0,0,0,8
ARQUE,atencion odontologica,consulta repetida,2023-01-01,1,3,2,4,25,11,4,13,0,0,0,4,0,0,67
