,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,cirugia bucomaxilofacial menor,2023-01-01,0,0,5,10,0,0,13,11,2,0,0,0,0,0,41
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucomaxilofacial menor,2023-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BETANZOS,atencion odontologica,cirugia bucomaxilofacial menor,2023-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CABEZAS,atencion odontologica,cirugia bucomaxilofacial menor,2023-01-01,0,0,0,0,16,1,0,0,0,0,0,0,0,0,17
CHARAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2023-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2023-01-01,1,0,2,1,1,1,3,1,0,1,0,0,0,0,11
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2023-01-01,2,0,32,28,37,50,37,90,9,1,0,0,0,0,286
COLPA BELGICA,atencion odontologica,cirugia bucomaxilofacial menor,2023-01-01,0,0,3,10,3,0,0,6,0,0,0,0,0,0,22
