,group,variable,month,RAYOS X DENTAL MENORES DE 5 AÑOS,RAYOS X DENTAL MENORES DE 5 AÑOS,RAYOS X DENTAL 5 A 13 AÑOS,RAYOS X DENTAL 5 A 13 AÑOS,RAYOS X DENTAL 14 A 19 AÑOS,RAYOS X DENTAL 14 A 19 AÑOS,RAYOS X DENTAL 20 A 59 AÑOS,RAYOS X DENTAL 20 A 59 AÑOS,RAYOS X DENTAL 60 AÑOS Y MAS,RAYOS X DENTAL 60 AÑOS Y MAS,RAYOS X DENTAL EMB,RAYOS X DENTAL EMB,RAYOS X DENTAL EMB,RAYOS X DENTAL EMB,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,rayos x dental,2023-01-01,0,0,0,0,0,1,1,1,0,1,0,0,0,0,4
ACHACACHI,atencion odontologica,rayos x dental,2023-01-01,0,0,5,2,3,7,7,14,0,2,0,0,0,0,40
ACHOCALLA,atencion odontologica,rayos x dental,2023-01-01,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3
AIQUILE,atencion odontologica,rayos x dental,2023-01-01,1,0,4,2,1,2,3,11,4,0,0,0,0,0,28
ALCALA,atencion odontologica,rayos x dental,2023-01-01,6,2,4,5,0,0,0,0,0,0,0,0,0,0,17
ANCORAIMES,atencion odontologica,rayos x dental,2023-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ANTEQUERA,atencion odontologica,rayos x dental,2023-01-01,0,0,0,0,1,1,10,0,0,0,0,0,0,0,12
ARANI,atencion odontologica,rayos x dental,2023-01-01,0,0,5,0,4,5,4,7,1,1,0,0,0,0,27
ARBIETO,atencion odontologica,rayos x dental,2023-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ATOCHA,atencion odontologica,rayos x dental,2023-01-01,0,0,1,0,0,0,5,7,0,0,0,0,0,0,13
